"Frame";"Timestamp";"x";"y";"z"
0;0;-490,7;4,1;64,7
7;117;-490,7;4,3;64,2
13;217;-490,7;4,2;63,9
19;317;-490,7;4,2;63,7
25;417;-490,7;4,2;63,4
31;517;-490,9;4,1;63,5
37;617;-490,6;4;63,8
43;717;-490,7;4;63,6
49;817;-490,8;4,1;63,3
55;917;-490,8;4,1;63,2
61;1017;-490,9;4,2;63,2
67;1117;-491,2;4,2;63,8
73;1217;-491,7;4,1;64,9
79;1317;-491,9;4,1;66,1
85;1417;-491,9;4;66,4
91;1517;-492,6;4,2;68,2
97;1617;-493,3;4;72,5
103;1717;-493;4,2;73,3
109;1817;-492,1;4,3;71,9
115;1917;-492,1;4,2;71,3
121;2017;-491,4;4,4;70,7
127;2117;-490,7;4,2;70,4
133;2217;-490,4;4,2;69,8
139;2317;-489,6;4,3;68,7
145;2417;-489,3;4,2;68
151;2517;-489,7;4;68
157;2617;-490,3;3,8;68,8
163;2717;-490,2;3,9;69,1
169;2817;-490,7;4;69,4
175;2917;-490,9;4,1;69,4
181;3017;-490,7;4,1;68,5
187;3117;-490,8;4,1;68
193;3217;-490,7;4,1;67,4
199;3317;-490,6;3,9;67,3
205;3417;-490,6;3,9;66,9
211;3517;-490,6;4;66,3
217;3617;-490,6;4,1;65,9
223;3717;-490,6;4,1;65,6
229;3817;-490,7;4;65,2
235;3917;-490,7;3,9;65,6
241;4017;-490,6;3,8;65,3
247;4117;-490,6;4;64,9
253;4217;-490,8;4,1;64,7
259;4317;-490,7;4,1;64,4
265;4417;-490,7;4,1;64,2
271;4517;-490,8;4,1;64,1
277;4617;-491;3,9;64,6
283;4717;-490,8;3,9;64,4
289;4817;-490,9;4;64,2
295;4917;-490,9;4,1;64
301;5017;-491,1;4,2;64,2
307;5117;-491,3;4,3;64,5
313;5217;-491,5;4,3;65,2
319;5317;-491,8;4,3;66
325;5417;-492,1;4,1;67,2
331;5517;-492;4,1;67,9
337;5617;-492,2;4,2;68,6
343;5717;-492,4;4,3;69,6
349;5817;-492,6;4,2;70,4
355;5917;-492,6;4,3;71,2
361;6017;-492,7;4,3;71,9
367;6117;-492,8;4,2;72,7
373;6217;-492,9;4,1;73,6
379;6317;-492,7;4,2;73,8
385;6417;-492,8;4,2;74,2
391;6517;-492,7;4,3;74,3
397;6617;-492,5;4,3;73,9
403;6717;-492,3;4,3;73,3
409;6817;-492;4,3;72,5
415;6917;-491,9;4,3;71,8
421;7017;-491,6;4,2;71,2
427;7117;-491,4;4,2;70,3
433;7217;-491,2;4,3;69,5
439;7317;-491,2;4,3;68,9
445;7417;-491,1;4,3;68,3
451;7517;-491;4,3;67,7
457;7617;-490,9;4,3;67
463;7717;-491;4,2;66,7
469;7817;-490,8;4,1;66,5
475;7917;-490,7;4,2;66
481;8017;-490,7;4,2;65,5
487;8117;-490,6;4,3;65,1
493;8217;-490,7;4,2;64,9
499;8317;-490,6;4,3;64,6
505;8417;-490,7;4,2;64,4
511;8517;-490,8;4;64,8
517;8617;-490,7;4,1;64,6
523;8717;-490,7;4,1;64,3
529;8817;-490,8;4,3;64,1
535;8917;-490,8;4,2;63,9
541;9017;-490,8;4,3;63,8
547;9117;-490,9;4,3;63,7
553;9217;-491;4,2;63,9
559;9317;-491;4,2;64,6
565;9417;-491,1;4,2;64,8
571;9517;-491,4;4,4;65
577;9617;-491,5;4,4;65,6
583;9717;-491,7;4,4;66,3
589;9817;-491,9;4,4;67,1
595;9917;-492,2;4,3;68
601;10017;-492,3;4,1;69,2
607;10117;-492,3;4,2;69,8
613;10217;-492,5;4,3;70,6
619;10317;-492,7;4,3;71,5
625;10417;-492,9;4,3;72,5
631;10517;-492,9;4,3;73,4
637;10617;-493,1;4,2;74,5
643;10717;-493,2;4,2;75,7
649;10817;-493,2;4,2;76,6
655;10917;-493,3;4,2;77,5
661;11017;-493,3;4,3;78,2
667;11117;-493,3;4,3;78,7
673;11217;-493,2;4,3;78,8
679;11317;-493,1;4,3;78,6
685;11417;-492,8;4,2;78,1
691;11517;-492,4;4,2;77,3
697;11617;-492,2;4,3;76,3
703;11717;-491,9;4,3;75,3
709;11817;-491,7;4,3;74,3
715;11917;-491,6;4,3;73,4
721;12017;-491,4;4,3;72,4
727;12117;-491;4,2;71,5
733;12217;-491;4,2;70,7
739;12317;-490,9;4,2;69,8
745;12417;-490,8;4,3;69
751;12517;-490,8;4,2;68,2
757;12617;-490,6;4,3;67,5
763;12717;-490,6;4,2;66,9
769;12817;-490,7;4;66,7
775;12917;-490,5;4;66,3
781;13017;-490,5;4;65,8
787;13117;-490,5;4,1;65,4
793;13217;-490,6;4,1;65,1
799;13317;-490,7;4,1;65
805;13417;-490,8;4,1;64,9
811;13517;-490,9;4,1;64,9
817;13617;-491;4;65,5
823;13717;-490,8;4;65,3
829;13817;-490,9;4,1;65
835;13917;-491;4,2;64,8
841;14017;-491;4,3;64,6
847;14117;-491;4,3;64,5
853;14217;-491;4,4;64,3
859;14317;-491,1;4,3;64,3
865;14417;-491;4,2;64,6
871;14517;-491;4,2;64,6
877;14617;-491,2;4,3;64,8
883;14717;-491,6;4,4;65,6
889;14817;-491,8;4,4;66,4
895;14917;-492,1;4,4;67,3
901;15017;-492,4;4,4;68,3
907;15117;-492,6;4,3;69,3
913;15217;-492,5;4,3;70,4
919;15317;-492,6;4,3;71
925;15417;-492,8;4,4;71,8
931;15517;-492,8;4,5;72,4
937;15617;-493;4,4;73,1
943;15717;-492,9;4,5;73,6
949;15817;-493,1;4,4;74,1
955;15917;-493;4,4;74,6
961;16017;-492,9;4,4;74,9
967;16117;-493;4,4;75,4
973;16217;-493,1;4,5;75,9
979;16317;-493,1;4,4;76,3
985;16417;-493;4,4;76,4
991;16517;-493;4,4;76,3
997;16617;-492,8;4,4;76,1
1003;16717;-492,5;4,4;75,5
1009;16817;-492,3;4,4;74,9
1015;16917;-492;4,4;74,1
1021;17017;-491,8;4,3;73,3
1027;17117;-491,6;4,4;72,6
1033;17217;-491,4;4,4;71,5
1039;17317;-491,3;4,3;71
1045;17417;-491;4,3;69,9
1051;17517;-490,8;4,2;69
1057;17617;-490,7;4,2;68,2
1063;17717;-490,6;4,2;67,4
1069;17817;-490,5;4,2;66,8
1075;17917;-490,4;4,2;66,2
1081;18017;-490,5;4,1;65,7
1087;18117;-490,3;3,9;65,6
1093;18217;-490,4;3,9;65,2
1099;18317;-490,4;4;64,7
1105;18417;-490,4;4;64,3
1111;18517;-490,4;4;64,1
1117;18617;-490,4;4;63,9
1123;18717;-490,5;4;63,7
1129;18817;-490,7;3,9;64
1135;18917;-490,4;3,8;64
1141;19017;-490,5;3,9;63,8
1147;19117;-490,6;4;63,6
1153;19217;-490,7;4;63,5
1159;19317;-490,6;4;63,4
1165;19417;-490,6;4;63,2
1171;19517;-490,7;4;63,3
1177;19617;-490,9;3,9;63,7
1183;19717;-490,7;3,9;63,8
1189;19817;-490,7;4;63,6
1195;19917;-490,7;4,1;63,3
1201;20017;-490,7;4,1;63,2
1207;20117;-490,8;4,1;63,2
1213;20217;-490,8;4,1;63,1
1219;20317;-490,9;4,1;63,2
1225;20417;-491;3,9;63,7
1231;20517;-490,8;4;63,6
1237;20617;-490,9;4,1;63,5
1243;20717;-490,9;4,2;63,4
1249;20817;-491,1;4,3;63,6
1255;20917;-491,2;4,3;64
1261;21017;-491,4;4,4;64,5
1267;21117;-491,7;4,3;65,3
1273;21217;-491,9;4,2;66,5
1279;21317;-492;4,3;67,1
1285;21417;-492,3;4,4;67,9
1291;21517;-492,5;4,4;68,9
1297;21617;-492,7;4,4;69,7
1303;21717;-492,8;4,4;70,6
1309;21817;-492,9;4,3;71,4
1315;21917;-493;4,3;72,3
1321;22017;-492,8;4,3;72,8
1327;22117;-493;4,4;73,4
1333;22217;-493,1;4,4;74,1
1339;22317;-493,2;4,4;74,7
1345;22417;-493,2;4,4;75
1351;22517;-493,1;4,4;75,2
1357;22617;-492,9;4,2;75,4
1363;22717;-492,9;4,2;75,6
1369;22817;-492,9;4,2;75,6
1375;22917;-492,8;4,2;75,4
1381;23017;-492,6;4,2;74,9
1387;23117;-492,4;4,3;74,3
1393;23217;-492,3;4,3;73,7
1399;23317;-492;4,2;73,2
1405;23417;-491,9;4,2;72,6
1411;23517;-491,9;4,3;72,1
1417;23617;-491,7;4,3;71,6
1423;23717;-491,7;4,3;71,2
1429;23817;-491,7;4,3;70,9
1435;23917;-491,7;4,3;70,7
1441;24017;-491,8;4,2;71,3
1447;24117;-492,3;4,2;72,1
1453;24217;-492,7;4,3;73,4
1459;24317;-493;4,3;74,6
1465;24417;-493,2;4,3;75,7
1471;24517;-493,2;4,3;76,5
1477;24617;-493,2;4,2;77
1483;24717;-492,7;4,2;76,7
1489;24817;-492,4;4,2;75,9
1495;24917;-492,1;4,3;74,9
1501;25017;-492;4,3;74,5
1507;25117;-491,8;4,3;73,9
1513;25217;-491,6;4,4;73,3
1519;25317;-491,6;4,3;72,8
1525;25417;-491,4;4,3;72,6
1531;25517;-491,6;4,3;72,4
1537;25617;-491,5;4,4;72,1
1543;25717;-491,5;4,5;71,7
1549;25817;-491,7;4,4;71,8
1555;25917;-491,5;4,4;71,5
1561;26017;-491,7;4,4;71,8
1567;26117;-491,6;4,4;71,4
1573;26217;-491,1;4,3;70,2
1579;26317;-491,1;4,4;69,6
1585;26417;-491;4,5;68,9
1591;26517;-490,9;4,4;68,1
1597;26617;-490,9;4,5;67,6
1603;26717;-490,9;4,4;67,2
1609;26817;-491;4,4;67
1615;26917;-490,9;4,3;67,1
1621;27017;-490,9;4,3;66,9
1627;27117;-491,1;4,4;66,6
1633;27217;-491,1;4,4;66,4
1639;27317;-491,1;4,5;66,3
1645;27417;-491,3;4,5;66,5
1651;27517;-491,7;4,6;67,2
1657;27617;-491,8;4,4;68,4
1663;27717;-491,8;4,4;68,9
1669;27817;-492,2;4,5;69,7
1675;27917;-492,3;4,5;70,6
1681;28017;-492,5;4,3;71,6
1687;28117;-492,6;4,2;72,6
1693;28217;-492,9;4,2;73,6
1699;28317;-492,8;4,1;74,6
1705;28417;-492,8;4,1;75,3
1711;28517;-493;4,2;76,1
1717;28617;-493;4,1;76,7
1723;28717;-493;4,1;77
1729;28817;-492,8;4,1;77
1735;28917;-492,7;4,1;76,8
1741;29017;-492,4;4,1;76,6
