"Frame";"Timestamp";"x";"y";"z"
0;0;-396,9;5,1;85,6
7;117;-397;5,2;85,6
13;217;-397;5,1;85,4
19;317;-397,1;5,1;85,3
25;417;-397,1;5,2;85,2
31;517;-397,1;5,2;85,1
37;617;-397,2;5,1;84,8
43;717;-397,3;5,1;84,7
49;817;-397,3;5,2;84,9
55;917;-397,3;5,1;84,8
61;1017;-397,2;5,1;85,1
67;1117;-397;5,1;85,8
73;1217;-396,6;5,2;86,8
79;1317;-396,6;5,2;86,8
85;1417;-396,5;5,1;86,9
91;1517;-395,5;5,2;89,3
97;1617;-394,4;5,3;91,2
103;1717;-394,2;5,4;91,2
109;1817;-394,4;5,3;90,8
115;1917;-394,6;5,3;90,3
121;2017;-394,4;5,4;90
127;2117;-393,5;5,4;89,8
133;2217;-393,6;5,4;89,5
139;2317;-393,3;5,4;89,1
145;2417;-393,2;5,4;89,3
151;2517;-393,5;5,3;89,2
157;2617;-393,8;5,2;89,2
163;2717;-393,9;5,2;89,4
169;2817;-394,2;5,2;89,8
175;2917;-394,5;5,2;89,7
181;3017;-394,9;5,2;88,8
187;3117;-395,3;5,1;88,3
193;3217;-395,6;5,2;87,9
199;3317;-395,8;5,1;87
205;3417;-396,1;5,1;86,6
211;3517;-396,3;5,1;86,5
217;3617;-396,3;5,1;86,2
223;3717;-396,4;5,1;86,2
229;3817;-396,6;5,1;85,9
235;3917;-396,7;5,2;85,7
241;4017;-396,7;5;85,4
247;4117;-396,8;5,2;85,4
253;4217;-396,9;5,2;85,4
259;4317;-397;5,2;85,4
265;4417;-397;5,2;85,4
271;4517;-397,1;5,2;85,3
277;4617;-397,1;5,3;85,2
283;4717;-397,2;5,1;84,9
289;4817;-397,3;5,2;85
295;4917;-397,2;5,3;85,2
301;5017;-397,1;5,3;85,5
307;5117;-396,9;5,2;86
313;5217;-396,6;5,2;86,7
319;5317;-396,2;5,3;87,4
325;5417;-396;5,3;87,9
331;5517;-395,7;5,3;88,5
337;5617;-395,5;5,3;89,3
343;5717;-395,2;5,3;90
349;5817;-394,9;5,3;90,5
355;5917;-394,5;5,3;91
361;6017;-394,2;5,4;91,6
367;6117;-394;5,4;92,1
373;6217;-393,9;5,4;92,2
379;6317;-393,7;5,4;92,5
385;6417;-393,7;5,4;92,7
391;6517;-393,6;5,4;92,7
397;6617;-393,8;5,4;92,4
403;6717;-393,9;5,4;91,9
409;6817;-394,2;5,4;91,5
415;6917;-394,4;5,4;90,9
421;7017;-394,6;5,3;90,3
427;7117;-394,9;5,3;89,7
433;7217;-395,2;5,3;89,3
439;7317;-395,3;5,2;88,9
445;7417;-395,5;5,3;88,5
451;7517;-395,6;5,2;88
457;7617;-395,9;5,3;87,7
463;7717;-396;5,3;87,2
469;7817;-396,2;5,2;86,8
475;7917;-396,4;5,3;86,5
481;8017;-396,4;5,3;86,3
487;8117;-396,6;5,4;86,2
493;8217;-396,7;5,3;86,1
499;8317;-396,7;5,3;86
505;8417;-396,8;5,3;85,8
511;8517;-396,8;5,4;85,5
517;8617;-397;5,3;85,3
523;8717;-397;5,3;85,3
529;8817;-397;5,4;85,3
535;8917;-397,1;5,4;85,3
541;9017;-397,1;5,4;85,3
547;9117;-397,1;5,4;85,3
553;9217;-397;5,4;85,5
559;9317;-396,9;5,3;85,5
565;9417;-396,9;5,3;85,9
571;9517;-396,7;5,4;86,5
577;9617;-396,3;5,4;87
583;9717;-396,1;5,3;87,8
589;9817;-395,7;5,3;88,4
595;9917;-395,5;5,3;89,2
601;10017;-395,3;5,4;89,5
607;10117;-395;5,3;90
613;10217;-394,7;5,4;90,7
619;10317;-394,4;5,4;91,3
625;10417;-394,3;5,4;91,9
631;10517;-393,9;5,3;92,6
637;10617;-393,6;5,4;93,3
643;10717;-393,3;5,4;93,5
649;10817;-393;5,4;94,1
655;10917;-392,8;5,4;94,7
661;11017;-392,6;5,4;94,9
667;11117;-392,5;5,4;95
673;11217;-392,5;5,4;95,1
679;11317;-392,5;5,4;94,8
685;11417;-392,7;5,4;94,4
691;11517;-393;5,3;93,9
697;11617;-393,3;5,3;93,4
703;11717;-393,5;5,3;92,7
709;11817;-393,8;5,2;92,1
715;11917;-394,1;5,2;91,7
721;12017;-394,3;5,2;91
727;12117;-394,6;5,2;90,2
733;12217;-394,9;5,2;89,6
739;12317;-395,1;5,2;89,2
745;12417;-395,4;5,2;88,6
751;12517;-395,6;5,2;88,3
757;12617;-395,7;5,2;87,9
763;12717;-395,8;5,2;87,3
769;12817;-396,1;5,3;86,9
