"Frame";"Timestamp";"x";"y";"z"
0;0;-286,4;2,2;95,4
7;117;-286,5;2,3;95,4
13;217;-286,6;2,2;95,4
19;317;-286,5;2,2;95,3
25;417;-286,5;2,2;95,2
31;517;-286,7;2,2;95,2
37;617;-286,6;2,2;95,2
43;717;-286,8;2,2;95,2
49;817;-286,7;2,3;95,1
55;917;-286,8;2,2;95,1
61;1017;-286,7;2,2;95,2
67;1117;-286,6;2,2;95,3
73;1217;-286,5;2,3;95,4
79;1317;-286,5;2,3;95,1
85;1417;-286,5;2,2;95
91;1517;-285,9;2,3;95,5
97;1617;-285,6;2,4;95,9
103;1717;-285,4;2,5;96,4
109;1817;-285,1;2,4;96,8
115;1917;-285,1;2,3;96,7
121;2017;-284,5;2,5;97,2
127;2117;-283,8;2,3;97,6
133;2217;-283,5;2,3;98
139;2317;-283,2;2,2;98,5
145;2417;-283;2,2;98,9
151;2517;-283,3;2,2;98,7
157;2617;-283,7;2,2;98,5
163;2717;-283,8;2,3;98,3
169;2817;-284,1;2,3;98,1
175;2917;-284,4;2,3;97,7
181;3017;-284,7;2,3;97,3
187;3117;-285;2,2;97
193;3217;-285,3;2,3;96,6
199;3317;-285,5;2,2;96,5
205;3417;-285,7;2,2;96,3
211;3517;-285,8;2,2;96,1
217;3617;-285,9;2,2;96,1
223;3717;-286;2,2;96
229;3817;-286,1;2,1;95,8
235;3917;-286,3;2,2;95,8
241;4017;-286,3;2,1;95,6
247;4117;-286,5;2,2;95,7
253;4217;-286,5;2,2;95,6
259;4317;-286,5;2,2;95,5
265;4417;-286,5;2,2;95,5
271;4517;-286,6;2,2;95,4
277;4617;-286,7;2,2;95,4
283;4717;-286,7;2,1;95,3
289;4817;-286,8;2,2;95,4
295;4917;-286,8;2,1;95,4
301;5017;-286,7;2,1;95,5
307;5117;-286,5;2,1;95,5
313;5217;-286,3;2,2;95,7
319;5317;-286,2;2,2;95,8
325;5417;-286,1;2,2;95,8
331;5517;-285,8;2,2;96
337;5617;-285,8;2,2;96,3
343;5717;-285,6;2,3;96,5
349;5817;-285,4;2,3;96,6
355;5917;-285,2;2,3;96,7
361;6017;-285,1;2,4;96,9
367;6117;-285;2,4;97
373;6217;-285;2,5;97
379;6317;-284,9;2,4;97,1
385;6417;-284,9;2,4;97,2
391;6517;-284,7;2,4;97,1
397;6617;-284,8;2,4;97,2
403;6717;-284,9;2,4;97,2
409;6817;-284,9;2,4;97,1
