"Frame";"Timestamp";"x";"y";"z"
0;0;-488;1,7;64,3
6;100;-488,2;1,7;64,9
12;200;-488,3;1,7;65,6
18;300;-488,6;1,7;66,6
24;400;-488,7;1,8;67,3
30;500;-489;1,9;68,1
36;600;-489,2;2;69
42;700;-489,5;2;70
48;800;-489,6;2;70,8
54;900;-489,7;2;71,6
60;1000;-489,8;2;72,5
66;1100;-489,8;2;73,3
72;1200;-489,7;2;74
78;1300;-489,8;2,1;74,7
84;1400;-490;2,1;75,4
90;1500;-490,1;2,1;76,2
96;1600;-490,2;2,1;77
102;1700;-490,3;2;77,8
108;1800;-490,3;2;78,3
114;1900;-490,3;2;78,7
120;2000;-490,1;1,8;78,8
126;2100;-490;1,9;78,8
132;2200;-489,8;1,7;78,4
138;2300;-489,6;1,8;77,9
144;2400;-489,3;1,7;77,1
150;2500;-489,1;1,7;76,3
156;2600;-488,8;1,7;75,3
162;2700;-488,6;1,7;74,5
168;2800;-488,2;1,6;73,8
174;2900;-488,1;1,6;73
180;3000;-487,7;1,6;72
186;3100;-487,5;1,6;71,1
192;3200;-487,4;1,5;70,3
198;3300;-487,2;1,5;69,4
204;3400;-487,1;1,4;68,7
210;3500;-487,1;1,4;68,1
216;3600;-487;1,4;67,6
222;3700;-486,8;1,1;67,4
228;3800;-486,9;1,1;66,9
234;3900;-486,9;1,2;66,4
240;4000;-486,9;1,3;66
246;4100;-486,9;1,3;65,7
252;4200;-486,9;1,3;65,3
258;4300;-487;1,3;65,1
264;4400;-487;1,3;64,9
270;4500;-487;1,2;64,7
276;4600;-487;1;64,8
282;4700;-486,8;1;64,6
288;4800;-486,9;1;64,4
294;4900;-487;1,2;64,1
300;5000;-487;1,2;63,9
306;5100;-487;1,3;63,8
312;5200;-487,1;1,3;63,7
318;5300;-487,2;1,3;63,7
324;5400;-487,2;1,3;63,7
330;5500;-487,2;1,2;63,6
336;5600;-487,2;1,2;63,8
342;5700;-487;1;63,7
348;5800;-487,1;1,1;63,6
354;5900;-487,1;1,3;63,4
360;6000;-487,2;1,2;63,4
366;6100;-487,2;1,3;63,3
372;6200;-487,3;1,3;63,3
378;6300;-487,3;1,5;63,5
384;6400;-487,5;1,4;63,9
390;6500;-487,5;1,5;64,1
396;6600;-487,7;1,6;64,9
402;6700;-487,7;1,4;65,3
408;6800;-488,1;1,6;66
414;6900;-488,5;1,7;66,8
420;7000;-488,7;1,8;67,5
426;7100;-488,9;1,8;68,4
432;7200;-489,1;1,9;69,3
438;7300;-489,2;1,9;70,1
444;7400;-489,4;1,7;71
450;7500;-489,4;1,7;71,9
456;7600;-489,4;1,6;72,7
462;7700;-489,4;1,7;73,3
468;7800;-489,6;1,7;74,1
474;7900;-489,7;1,8;74,9
480;8000;-489,8;1,8;75,6
486;8100;-489,9;1,7;76,2
492;8200;-489,9;1,8;76,8
498;8300;-490;1,7;77,4
504;8400;-490,1;1,8;78,1
510;8500;-490,1;1,8;78,7
516;8600;-489,8;1,7;78,8
522;8700;-489,9;1,7;78,9
528;8800;-489,8;1,6;78,8
534;8900;-489,6;1,6;78,4
540;9000;-489,4;1,5;77,7
546;9100;-489,1;1,6;76,9
552;9200;-488,9;1,6;76
558;9300;-488,8;1,5;75,2
564;9400;-488,4;1,4;74,5
570;9500;-488;1,3;73,5
576;9600;-487,9;1,3;72,7
582;9700;-487,8;1,4;72
588;9800;-487,7;1,4;71,2
594;9900;-487,5;1,4;70,4
600;10000;-487,4;1,4;69,6
606;10100;-487,3;1,4;68,9
612;10200;-487,2;1,3;68,4
618;10300;-487;1,2;68,1
624;10400;-487;1,1;67,6
630;10500;-486,9;1,2;67
636;10600;-486,9;1,3;66,4
642;10700;-486,9;1,2;66
648;10800;-486,9;1,3;65,6
654;10900;-487;1,2;65,3
660;11000;-487;1,2;64,9
666;11100;-486,9;1,2;64,6
672;11200;-486,7;1;64,7
678;11300;-486,8;1;64,4
684;11400;-486,8;1;64
690;11500;-486,9;1,2;63,9
696;11600;-487;1,1;63,8
702;11700;-487;1,1;63,6
708;11800;-487,1;1,2;63,6
714;11900;-487,1;1,1;63,5
720;12000;-487;1,1;63,5
726;12100;-487;0,9;63,7
732;12200;-486,9;0,9;63,6
738;12300;-487;0,8;63,5
744;12400;-487,1;1;63,4
750;12500;-487,1;1;63,3
756;12600;-487,1;1;63,2
