"Frame";"Timestamp";"x";"y";"z"
0;0;-484,4;3;66,1
6;100;-484,6;2,6;65,5
12;200;-485;2,3;65
18;300;-485,2;2;64,5
24;400;-485,5;1,8;64,2
30;500;-485,6;1,4;64,1
36;600;-485,7;1,2;63,8
42;700;-485,9;1,2;63,4
48;800;-486,2;1,3;63,1
54;900;-486,3;1,3;62,9
60;1000;-486,5;1,4;62,6
66;1100;-486,6;1,4;62,4
72;1200;-486,8;1,5;62,3
78;1300;-486,9;1,4;62,3
84;1400;-487,1;1,3;62,7
90;1500;-487;1,2;62,6
96;1600;-487,1;1,3;62,4
102;1700;-487,1;1,5;62,1
108;1800;-487,2;1,4;62,1
114;1900;-487,2;1,6;61,9
120;2000;-487,2;1,6;61,8
126;2100;-487,2;1,6;61,7
132;2200;-487,2;1,6;61,8
138;2300;-487,2;1,6;61,9
144;2400;-487,2;1,5;62,4
150;2500;-487,3;1,5;62,6
156;2600;-487,4;1,7;62,8
162;2700;-487,6;1,8;63,1
168;2800;-487,7;1,9;63,5
174;2900;-487,9;2;64
180;3000;-488,1;2,1;64,6
186;3100;-488,1;2,2;65,1
192;3200;-488,2;2,2;65,9
198;3300;-488,2;2,4;66,7
204;3400;-487,9;2,4;67,5
210;3500;-487,9;2,6;68,2
216;3600;-487,7;2,7;68,7
222;3700;-487,7;2,9;69,6
228;3800;-487,7;3;70,4
234;3900;-487,8;3,1;71,4
240;4000;-487,7;3,3;72,1
246;4100;-487,7;3,3;73
252;4200;-487,8;3,3;73,9
258;4300;-487,6;3,4;74,9
264;4400;-487,5;3,4;75,6
270;4500;-487,6;3,5;76,4
276;4600;-487,6;3,6;76,9
282;4700;-487,5;3,6;77,4
288;4800;-487,4;3,6;77,1
294;4900;-487,3;3,5;76,7
300;5000;-487,1;3,7;76
306;5100;-486,9;3,6;75,6
312;5200;-486,7;3,6;75
318;5300;-486,6;3,5;74,4
324;5400;-486,6;3,5;73,9
330;5500;-486,4;3,5;73,3
336;5600;-486,4;3,5;72,7
342;5700;-486,3;3,5;72
348;5800;-486,2;3,4;71,2
354;5900;-486;3,1;70,4
360;6000;-485,7;2,9;69,3
366;6100;-485,6;2,9;68,2
372;6200;-485,5;2,8;67,2
378;6300;-485,4;2,7;66,4
384;6400;-485,5;2,6;65,7
390;6500;-485,5;2,3;65
396;6600;-485,7;2,2;64,5
402;6700;-485,6;1,9;64
408;6800;-485,5;1,5;63,8
414;6900;-485,6;1,4;63,3
420;7000;-485,7;1,4;62,9
426;7100;-485,8;1,5;62,5
432;7200;-485,8;1,4;62,2
438;7300;-485,9;1,5;62
444;7400;-486,1;1,5;61,9
450;7500;-486,2;1,4;61,8
456;7600;-486,3;1,4;61,7
462;7700;-486,5;1,1;62,3
468;7800;-486,3;1,1;62,1
474;7900;-486,3;1,1;61,9
480;8000;-486,5;1,2;61,7
486;8100;-486,5;1,2;61,6
492;8200;-486,6;1,2;61,5
498;8300;-486,6;1,3;61,4
504;8400;-486,7;1,3;61,4
510;8500;-486,6;1,2;61,4
516;8600;-486,8;1,2;61,6
522;8700;-486,7;1,1;62,3
528;8800;-487;1,3;62,8
534;8900;-487,1;1,6;63,2
540;9000;-487,3;1,8;64
546;9100;-487,3;1,9;64,6
552;9200;-487,3;2,2;65,3
558;9300;-487,4;2,3;66,1
564;9400;-487,3;2,4;66,9
570;9500;-487,1;2,6;67,6
576;9600;-486,8;2,7;68,4
582;9700;-486,5;2,9;68,8
588;9800;-486,5;3,1;69,4
594;9900;-486,4;3,3;70,1
600;10000;-486,3;3,4;70,7
606;10100;-486,2;3,5;71,5
612;10200;-486,2;3,6;72,3
618;10300;-486,1;3,7;73,2
624;10400;-486,1;3,9;74
630;10500;-486;3,8;75
636;10600;-486,1;3,9;75,7
642;10700;-486;4;76,2
648;10800;-486;3,9;76,7
654;10900;-485,9;3,9;76,6
660;11000;-485,6;3,8;76
666;11100;-485,5;3,8;75,3
672;11200;-485,5;3,7;74,7
678;11300;-485,2;3,6;73,9
684;11400;-485,1;3,5;72,9
690;11500;-485;3,4;71,8
696;11600;-484,9;3,3;70,7
702;11700;-485;3,1;69,8
708;11800;-485,1;2,9;69
714;11900;-485,5;2,6;68,5
720;12000;-486,1;2,4;68,6
726;12100;-486;2,1;67,9
732;12200;-486;1,9;67,1
738;12300;-486,1;1,9;66,4
744;12400;-486,1;1,6;65,7
750;12500;-486,2;1,5;65,1
756;12600;-486,2;1,3;64,5
762;12700;-486,3;1,2;64
768;25,6;-486,55;0,8;64,3
774;25,8;-486,35;0,8;63,85
781;13017;-486,2;0,8;63,1
787;13117;-486,2;0,8;62,6
793;13217;-486,3;0,9;62,4
799;13317;-486,4;0,9;62,2
805;13417;-486,4;0,9;61,9
811;13517;-486,4;1;61,8
817;13617;-486,6;0,9;61,7
823;13717;-486,6;1;61,7
829;13817;-486,5;0,7;62,1
835;13917;-486,5;0,8;62
841;14017;-486,5;0,9;61,7
847;14117;-486,6;1;61,6
853;14217;-486,6;1;61,6
859;14317;-486,7;1;61,5
866;14433;-486,7;1,1;61,5
872;14533;-486,9;1;61,8
878;14633;-487;1,1;62,2
884;14733;-487,1;1,1;63,2
890;14833;-487,4;1,2;63,9
896;14933;-487,6;1,4;64,6
902;15033;-487,8;1,5;65,3
908;15133;-488,1;1,7;66,3
914;15233;-488,2;1,7;67,1
920;15333;-488,3;1,9;67,9
926;15433;-488,2;1,9;68,7
932;15533;-488,1;2,1;69,4
938;15633;-487,9;2,2;70,2
944;15733;-487,9;2,4;70,8
950;15833;-487,8;2,5;71,4
956;15933;-487,9;2,6;72,3
962;16033;-487,9;2,7;73,1
968;16133;-487,9;2,8;73,9
974;16233;-488;2,9;74,8
980;16333;-488,1;3;75,8
986;16433;-488;2,9;76,8
992;16533;-487,8;3;77,5
998;16633;-487,9;3;78,5
1004;16733;-487,9;3,1;79,3
1010;16833;-487,8;3,1;79,6
1016;16933;-487,7;3,1;79,4
1022;17033;-487,4;3,1;78,7
1028;17133;-487,3;3;78,1
1034;17233;-486,9;2,9;77,6
1040;17333;-486,8;2,8;76,7
1046;17433;-486,7;2,8;76
1052;17533;-486,5;2,8;75,3
1058;17633;-486,4;2,7;74,5
1064;17733;-486,4;2,7;73,7
1070;17833;-486,4;2,5;73
1076;17933;-486,4;2,5;72,2
1082;18033;-486,3;2,2;71,6
1088;18133;-486,4;2,1;70,8
1094;18233;-486,3;1,9;69,9
1100;18333;-486,5;1,8;69,2
1106;18433;-486,5;1,7;68,4
1112;18533;-486,5;1,6;67,6
1118;18633;-486,5;1,5;67
1124;18733;-486,7;1,4;66,4
1130;18833;-486,8;1,3;66,1
1136;18933;-486,6;1,1;65,7
1142;19033;-486,7;1,1;65,2
1148;19133;-486,8;1,1;64,8
1154;19233;-487;1,1;64,6
1160;19333;-487,1;1,1;64,2
1166;19433;-487,3;1;64
1172;19533;-487,3;1,1;63,7
1178;19633;-487,5;1;63,4
1184;19733;-487,5;1;63,2
1190;19833;-487,2;0,8;63,2
1196;19933;-487,1;0,8;62,7
1202;20033;-486,9;0,9;62,2
1208;20133;-486,8;1,1;62,2
1214;20233;-486,7;1,4;62,3
1220;20333;-486,5;1,7;62,5
1226;20433;-486,2;1,9;62,8
1232;20533;-486;2,2;63,1
1238;20633;-485,7;2,4;63,5
1244;20733;-485,4;2,4;64,2
1250;20833;-485,4;2,5;64,6
1256;20933;-485,3;2,7;64,9
1262;21033;-485,3;2,9;65,3
1268;21133;-485,2;3;65,8
1274;21233;-485,2;3,1;66,4
1280;21333;-485,2;3,2;66,9
1286;21433;-485,1;3,2;67,4
1292;21533;-485,1;3,4;67,9
1298;21633;-485;3,3;68,6
1304;21733;-485,1;3,6;69,2
1310;21833;-485,1;3,7;69,8
1316;21933;-485,2;3,9;70,5
1322;22033;-485,2;4;71,2
1328;22133;-485,2;3,9;71,8
1334;22233;-485,3;3,9;72,4
1340;22333;-485,2;3,8;72,6
1346;22433;-484,9;3,6;72,1
1352;45,0666666666667;-484,766666666667;3,33333333333333;71,2333333333333
1359;22650;-484,6;3,4;70,1
1365;22750;-484,6;3,2;69,2
1371;22850;-484,7;3;68,5
1377;22950;-484,7;2,9;67,8
1383;23050;-484,7;2,7;67
1389;23150;-484,7;2,4;66,7
1395;23250;-484,5;2,2;65,8
1401;23350;-484,7;2,1;65,2
1407;23450;-484,9;2;64,8
1413;23550;-485,2;1,7;64,4
1419;23650;-485,4;1,6;64,2
1425;23750;-485,6;1,5;63,9
1431;23850;-485,7;1,3;63,5
1437;23950;-486;1;63,7
1443;24050;-485,9;0,8;63,4
1449;24150;-486,1;0,8;63,1
1455;24250;-486,4;0,9;62,8
1461;24350;-486,5;0,8;62,6
1467;24450;-486,7;0,8;62,4
1473;24550;-486,8;0,9;62,2
1479;24650;-486,9;0,8;62,1
1485;24750;-487,1;0,8;62,2
1491;24850;-487,1;0,6;62,5
1497;24950;-487,1;0,6;62,3
1503;25050;-487,1;0,7;62
1509;25150;-487,1;0,8;61,8
1515;25250;-487,1;0,8;61,7
1521;25350;-487,1;0,8;61,7
1527;25450;-487,2;0,9;61,8
1533;25550;-487,3;1;62,2
1539;25650;-487,2;1;62,5
1545;25750;-487,2;1;63,4
1551;25850;-487,2;1,2;63,9
1557;25950;-487;1,4;64,1
1563;26050;-486,8;1,8;64,4
1569;26150;-486,4;1,9;64,6
