"Frame";"Timestamp";"x";"y";"z"
0;0;-391,8;3,6;90,2
6;100;-392,4;3,3;89,8
12;200;-392,8;3;89,3
18;300;-393,3;2,9;88,8
24;400;-393,7;2,8;88,4
30;500;-394,2;2,6;87,6
36;600;-394,6;2,4;87,1
42;700;-394,9;2,5;86,9
48;800;-395,1;2,4;86,6
54;900;-395,3;2,4;86,4
60;1000;-395,5;2,4;86,4
66;1100;-395,6;2,4;86,2
72;1200;-395,7;2,5;86,2
78;1300;-395,8;2,3;85,9
84;1400;-396;2,4;85,7
90;1500;-396;2,2;85,5
96;1600;-396,1;2,3;85,5
102;1700;-396,2;2,5;85,6
108;1800;-396,2;2,5;85,6
114;1900;-396,3;2,5;85,7
120;2000;-396,3;2,5;85,7
126;2100;-396,2;2,6;85,8
132;2200;-396,2;2,5;85,8
138;2300;-396,1;2,6;85,9
144;2400;-396,1;2,5;85,8
150;2500;-396;2,5;86
156;2600;-395,8;2,6;86,5
162;2700;-395,6;2,7;86,9
168;2800;-395,3;2,7;87,3
174;2900;-395,1;2,7;87,8
180;3000;-394,7;2,8;88,2
186;3100;-394,3;3;88,7
192;3200;-393,9;3;89,2
198;3300;-393,6;3,3;89,7
204;3400;-393,1;3,3;90,1
210;3500;-392,7;3,4;90,7
216;3600;-392,2;3,4;91,5
222;3700;-391,9;3,6;92
228;3800;-391,3;3,7;92,6
234;3900;-390,9;3,7;93,1
240;4000;-390,5;3,9;93,7
246;4100;-390,1;4;94,3
252;4200;-389,9;4,1;94,7
258;4300;-389,6;4,2;95
264;4400;-389,3;4,1;95,5
270;4500;-389,2;4,2;95,9
276;4600;-389;4,2;96,1
282;4700;-389;4,2;96,1
288;4800;-389,1;4,2;96
294;4900;-389,2;4,1;95,8
300;5000;-389,3;4,2;95,5
306;5100;-389,6;4,1;95
312;5200;-389,8;4,1;94,6
318;5300;-390;4;94,2
324;5400;-390,1;4;94
330;5500;-390,4;3,9;93,7
336;5600;-390,6;3,8;93,5
342;5700;-390,8;3,8;93,1
348;5800;-391,2;3,7;92,5
354;5900;-391,6;3,6;91,8
360;6000;-391,9;3,4;91,1
366;6100;-392,2;3,4;90,5
372;6200;-392,5;3,2;90
378;6300;-392,8;3,1;89,6
384;6400;-393,2;3,1;89,2
390;6500;-393,4;2,9;88,8
396;6600;-393,7;2,8;88,4
402;6700;-393,9;2,7;88
408;6800;-394,1;2,3;87,3
414;6900;-394,4;2,2;86,9
420;7000;-394,6;2,2;86,8
426;7100;-394,7;2,3;86,6
432;7200;-394,8;2,2;86,5
438;7300;-394,8;2,3;86,4
444;7400;-395;2,3;86,4
450;7500;-395,1;2,3;86,4
456;7600;-395,2;2,3;86,2
462;7700;-395,3;2,2;86
