"Frame";"Timestamp";"x";"y";"z"
0;0;-282,8;1,9;100,5
6;100;-283,2;1,7;100,1
12;200;-283,6;1,7;99,7
18;300;-284,1;1,6;99,3
24;400;-284,5;1,6;98,8
30;500;-284,9;1,6;98,4
36;600;-285,2;1,5;97,9
42;700;-285,6;1,5;97,6
48;800;-285,9;1,4;97,4
54;900;-286;1,4;97
60;1000;-286,3;1,3;96,8
66;1100;-286,4;1,3;96,5
72;1200;-286,6;1,4;96,4
78;1300;-286,8;1,3;96,2
84;1400;-286,9;1,3;96
90;1500;-287;1,3;95,9
96;1600;-287,1;1,2;95,8
102;1700;-287,1;1,3;95,8
108;1800;-287,2;1,2;95,8
114;1900;-287,2;1,2;95,8
120;2000;-287,1;1,2;95,7
126;2100;-287,2;1,3;95,8
132;2200;-287,1;1,2;95,8
138;2300;-287,1;1,3;95,8
144;2400;-287,1;1,3;95,9
150;2500;-287;1,2;95,9
156;2600;-286,9;1,4;96,1
162;2700;-286,7;1,4;96,3
168;2800;-286,6;1,4;96,5
174;2900;-286,3;1,4;96,6
180;3000;-286,1;1,5;96,8
186;3100;-285,9;1,6;97,2
192;3200;-285,6;1,6;97,5
198;3300;-285,4;1,7;97,8
204;3400;-285;1,7;98,2
210;3500;-284,7;1,7;98,7
216;3600;-284,2;1,7;99
222;3700;-283,9;1,7;99,4
228;3800;-283,6;1,7;99,7
234;3900;-283,3;1,7;99,9
240;4000;-283,1;1,8;100,3
246;4100;-282,8;1,9;100,6
252;4200;-282,5;1,9;100,7
258;4300;-282,5;2;101
264;4400;-282,2;1,9;101,1
270;4500;-282,1;2;101,2
276;4600;-282,1;2;101,3
282;4700;-282;2;101,4
288;4800;-282,1;2;101,4
294;4900;-282,1;2;101,3
300;5000;-282,1;2,1;101,2
306;5100;-282,2;2;101,1
312;5200;-282,3;2;101,1
318;5300;-282,4;1,9;101
324;5400;-282,4;1,9;100,9
330;5500;-282,5;1,9;100,8
336;5600;-282,6;1,8;100,8
342;5700;-282,8;1,9;100,6
348;5800;-282,9;1,9;100,4
354;5900;-283,2;1,8;100,2
360;6000;-283,2;1,8;100,1
366;6100;-283,4;1,7;100
372;6200;-283,5;1,7;99,7
