"Frame";"Timestamp";"x";"y";"z"
0;0;-491,2;0;74,6
6;100;-491,2;-0,1;74,9
12;200;-491,2;-0,1;74,9
18;300;-490,9;-0,2;74,5
24;400;-490,6;-0,4;73,9
30;500;-490,4;-0,4;73,1
36;600;-490,2;-0,4;72,4
42;700;-490,1;-0,4;71,6
48;800;-489,9;-0,4;70,8
54;900;-489,8;-0,5;69,9
60;1000;-489,6;-0,5;69,1
66;1100;-489,4;-0,7;68,2
72;1200;-489,3;-0,7;67,6
78;1300;-489,1;-0,9;67,2
84;1400;-489,1;-0,9;66,5
90;1500;-489;-0,9;65,8
96;1600;-489;-1;65,3
102;1700;-489;-0,9;64,8
108;1800;-489,1;-1,1;64,4
114;1900;-489,2;-1,1;64,2
120;2000;-489,2;-1,2;63,9
126;2100;-489,1;-1,2;63,5
132;2200;-489,2;-1,3;63,8
138;2300;-489,1;-1,4;63,6
144;2400;-489,3;-1,2;63,5
150;2500;-489,4;-1,2;63,2
156;2600;-489,4;-1,1;63
162;2700;-489,5;-1,1;62,8
168;2800;-489,6;-1;62,8
174;2900;-489,6;-1;62,8
180;3000;-489,6;-1,1;62,7
186;3100;-489,6;-1;62,6
192;3200;-489,6;-1,1;63
198;3300;-489,6;-1,1;63
204;3400;-489,6;-1;62,7
210;3500;-489,7;-1;62,6
216;3600;-489,7;-0,9;62,4
222;3700;-489,8;-0,9;62,3
228;3800;-489,8;-0,9;62,4
234;3900;-489,7;-0,9;62,3
240;4000;-489,7;-1;62,3
246;4100;-489,6;-1;62,3
252;4200;-489,6;-1,1;62,6
258;4300;-489,7;-1,1;62,5
264;4400;-489,7;-1;62,4
270;4500;-489,8;-0,8;62,5
276;4600;-490;-0,9;62,8
282;4700;-490,2;-0,8;63,2
288;4800;-490,4;-0,7;63,8
294;4900;-490,5;-0,8;64,4
300;5000;-490,6;-0,8;65
306;5100;-490,7;-0,7;65,6
312;5200;-490,6;-0,8;66,4
318;5300;-490,9;-0,8;67
324;5400;-490,9;-0,6;67,5
330;5500;-491;-0,4;68,2
336;5600;-491;-0,4;68,8
342;5700;-491,2;-0,3;69,6
348;5800;-491,2;-0,4;70,3
354;5900;-491,3;-0,3;71,1
360;6000;-491,4;-0,3;71,8
366;6100;-491,3;-0,3;72,6
372;6200;-491,4;-0,3;73,1
378;6300;-491,4;-0,3;73,6
384;6400;-491,4;-0,2;73,9
390;6500;-491,4;-0,2;74
396;6600;-491,3;-0,2;74,1
402;6700;-491,1;-0,3;73,6
408;6800;-490,9;-0,4;73
414;6900;-490,7;-0,4;72,4
420;7000;-490,4;-0,5;71,9
426;7100;-490,3;-0,5;71,2
432;7200;-490,1;-0,5;70,5
438;7300;-490,1;-0,5;69,9
444;7400;-489,9;-0,5;69,2
450;7500;-489,8;-0,5;68,6
456;7600;-489,8;-0,6;68,1
462;7700;-489,7;-0,6;67,6
468;7800;-489,6;-0,8;67,4
474;7900;-489,4;-0,9;66,8
480;8000;-489,4;-0,9;66,2
486;8100;-489,4;-0,9;65,7
492;8200;-489,4;-0,9;65,3
498;8300;-489,5;-0,8;65
504;8400;-489,5;-0,8;64,7
510;8500;-489,5;-0,8;64,6
516;8600;-489,5;-0,8;64,6
522;8700;-489,6;-0,8;64,8
528;8800;-489,7;-0,7;64,8
534;8900;-489,7;-0,7;64,6
540;9000;-489,7;-0,6;64,4
546;9100;-489,7;-0,7;64,5
552;9200;-490;-0,6;64,9
558;9300;-490,2;-0,5;65,5
564;9400;-490,5;-0,5;66,4
570;9500;-490,7;-0,5;67,3
576;9600;-490,8;-0,5;68,3
582;9700;-491;-0,4;69,1
588;9800;-491,1;-0,4;69,9
594;9900;-491,2;-0,3;70,6
600;10000;-491,3;-0,2;71,3
606;10100;-491,5;-0,2;72,1
612;10200;-491,5;-0,2;72,6
618;10300;-491,6;-0,2;73,1
624;10400;-491,5;-0,2;73,4
630;10500;-491,4;-0,3;73,6
636;10600;-491,3;-0,3;73,4
642;10700;-491,1;-0,3;73
648;10800;-491;-0,3;72,4
654;10900;-490,8;-0,3;71,9
660;11000;-490,8;-0,3;71,5
666;11100;-490,7;-0,3;71,1
672;11200;-490,7;-0,3;70,8
678;11300;-490,6;-0,3;70,5
684;11400;-490,4;-0,4;70,6
690;11500;-490,5;-0,4;70,4
696;11600;-490,4;-0,3;70,1
702;11700;-490,4;-0,3;70
708;11800;-490,4;-0,3;69,7
714;11900;-490,3;-0,3;69,4
720;12000;-490,3;-0,3;69,3
726;12100;-490,3;-0,4;69,2
732;12200;-490,3;-0,5;69,3
738;12300;-490,2;-0,5;69,4
744;12400;-490,2;-0,5;69,2
750;12500;-490,3;-0,4;69,1
756;12600;-490,2;-0,4;69
762;12700;-490,2;-0,4;69
768;12800;-490,4;-0,4;69,1
774;12900;-490,3;-0,4;68,8
780;13000;-490;-0,6;68
786;13100;-489,8;-0,6;67,2
792;13200;-489,8;-0,8;67,2
798;13300;-489,8;-0,8;66,6
804;13400;-489,7;-0,8;66
810;13500;-489,7;-0,7;65,5
816;13600;-489,8;-0,7;65,2
822;13700;-489,8;-0,7;64,7
828;13800;-489,8;-0,7;64,4
834;13900;-489,8;-0,8;64,2
840;14000;-489,8;-0,8;64
846;14100;-491,8;0,8;65,5
852;14200;-492,3;1,2;67,6
858;14300;-492,1;1,3;67,5
864;14400;-491,7;1,8;67,1
870;14500;-491,7;2,2;67,2
876;14600;-491,7;2,1;67,2
882;14700;-491,1;2;66,2
888;14800;-490,7;1,9;65,4
894;14900;-490,7;2,2;65,5
900;15000;-491,6;2,6;68,3
906;15100;-492,3;1,8;74,9
912;15200;-492,4;1;80,4
918;15300;-492,3;0,6;85,1
924;15400;-492,1;0,7;87,6
931;15517;-491,4;0,5;86,5
937;15617;-491,1;0,4;85,1
943;15717;-491;0,2;83,9
949;15817;-491;0,3;83,4
955;15917;-490,7;0,2;82,6
961;16017;-490,5;0,2;81,7
967;16117;-490,4;0,3;80,7
973;16217;-490,4;0,3;80
979;16317;-490,3;0,3;79,4
985;16417;-490,5;0,2;79,2
991;16517;-490,6;0,2;79
997;16617;-490,4;0,1;78,3
1003;16717;-490,3;-0,1;77,7
1009;16817;-490,3;-0,1;76,6
1015;16917;-490,6;0;76,1
1021;17017;-490,8;0,2;76
1027;17117;-490,7;0,2;75,6
1033;17217;-490,6;0,2;75,1
1039;17317;-490,5;0,2;74
1045;17417;-490,7;0,2;74,2
1051;17517;-490,7;0,3;73,6
1057;17617;-491,1;0,4;73,5
1063;17717;-491,1;0,6;73,2
1069;17817;-490,8;0,8;72,4
1075;17917;-490,5;0,7;70,9
1081;18017;-490,2;0,8;69,4
1087;18117;-490,3;0,9;69
1093;18217;-490,3;0,9;69,4
1099;18317;-489,8;0,5;69,3
1105;18417;-489,7;0,3;68,9
1111;18517;-489,6;0,2;68,4
1117;18617;-489,5;0;68,2
1123;18717;-490;0;68,3
1129;18817;-490,3;0;68,5
1135;18917;-490,5;0,1;68,7
1141;19017;-490,6;0,1;68,5
1147;19117;-490,4;0;68,4
1153;19217;-491,2;0,2;70
1159;19317;-492,8;-0,3;73,3
1165;19417;-493,1;-1,4;77
1171;19517;-492,8;-1,9;79,3
1177;19617;-492,7;-2;81,4
1183;19717;-492,7;-1,8;82,8
1189;19817;-492,5;-1,9;83,7
1195;19917;-492,3;-1,8;83,7
1201;20017;-492,3;-1,6;83,7
1207;20117;-492,1;-1,5;83,2
1213;20217;-492,1;-1,6;82,8
1219;20317;-492,3;-1,9;82,3
1225;20417;-492,2;-2,3;81,4
1231;20517;-491,9;-2,5;80,5
1237;20617;-491,8;-2,3;79,7
1243;20717;-491,7;-2,2;78,9
1249;20817;-491,4;-2,1;77,7
1255;20917;-491,1;-2;76,5
1261;21017;-491,1;-2,1;75,4
1267;21117;-491,1;-2,1;74,4
1273;21217;-491;-2,3;73,5
1279;21317;-491,1;-2,2;72,7
1285;21417;-490,9;-2;71,6
1291;21517;-491,1;-1,9;71,3
1297;21617;-491,2;-1,8;70,9
1303;21717;-491,3;-1,9;70,7
1309;21817;-491,2;-1,8;70,5
1315;21917;-491,5;-1,8;70,8
1321;22017;-491,2;-1,6;70,3
1327;22117;-491,3;-1,2;70
1333;22217;-491,7;-1;70,3
1339;22317;-491,9;-0,2;70,1
1345;22417;-492,4;1,5;69
1351;22517;-492,8;2,7;68,8
1357;22617;-493,1;3,2;69
1363;22717;-493,1;3;69,1
1369;22817;-493,5;2,8;69,6
1375;22917;-493,3;3,2;69,4
1381;23017;-493,1;3,7;69
1387;23117;-493,1;3,8;69
1393;23217;-492,2;3,8;68,5
1399;23317;-492,2;3,6;69,6
1405;23417;-492,3;2,4;73,1
1411;23517;-492,6;1,8;76,8
1417;23617;-492,1;1,6;79,5
1423;23717;-492,2;1,8;81,8
1429;23817;-492;1,6;82,4
1435;23917;-491,1;1,3;80
1441;24017;-490,9;1,5;78,2
1447;24117;-491;1,7;77,4
1453;24217;-491,1;1,5;77,1
1459;24317;-490,9;1,3;76,9
1465;24417;-490,9;1,3;76,5
1471;24517;-490,9;1,4;76
1477;24617;-490,7;1,3;74,4
1483;24717;-490,7;1,3;72,5
1489;24817;-491;1,4;72,6
