"Frame";"Timestamp";"x";"y";"z"
0;0;-392;1,1;95,6
6;100;-391,9;1;95,6
12;200;-392;1;95,6
18;300;-392,1;1;95,1
24;400;-392,4;0,9;94,6
30;500;-392,6;0,8;94,1
36;600;-392,9;0,7;93,8
42;700;-393;0,7;93,4
48;800;-393,3;0,6;92,9
54;900;-393,5;0,5;92,5
60;1000;-393,7;0,5;92,1
66;1100;-394;0,5;91,6
72;1200;-394,2;0,5;91,1
78;1300;-394,5;0,2;90,4
84;1400;-394,8;0,2;90
90;1500;-395;0,2;89,8
96;1600;-395,1;0,1;89,4
102;1700;-395,3;0,2;89,2
108;1800;-395,5;0;89
114;1900;-395,7;0,1;88,8
120;2000;-395,8;0,1;88,5
126;2100;-395,9;0;88,1
132;2200;-396,1;0;87,9
138;2300;-396,2;-0,1;87,6
144;2400;-396,4;0;87,7
150;2500;-396,5;0,1;87,6
156;2600;-396,6;0,1;87,6
162;2700;-396,6;0,1;87,6
168;2800;-396,7;0,1;87,6
174;2900;-396,9;0,3;87,7
180;3000;-396,8;0,2;87,5
186;3100;-396,9;0,3;87,5
192;3200;-397;0,1;87,3
198;3300;-397,1;0,1;87,1
204;3400;-397,1;0,2;87,2
210;3500;-397,1;0,2;87,3
216;3600;-397;0,2;87,2
222;3700;-397,1;0,1;87,4
228;3800;-397;0,3;87,4
234;3900;-397;0,2;87,4
240;4000;-397,1;0,2;87,4
246;4100;-397,1;0,3;87,4
252;4200;-397,1;0,1;87,2
258;4300;-397,2;0,1;87,2
264;4400;-397,1;0,1;87,3
270;4500;-397;0,3;87,4
276;4600;-396,8;0,2;87,9
282;4700;-396,5;0,2;88,4
288;4800;-396,3;0,3;88,8
294;4900;-396,1;0,3;89,3
300;5000;-395,8;0,4;89,7
306;5100;-395,5;0,4;90
312;5200;-395,3;0,3;90,3
318;5300;-395;0,3;90,7
324;5400;-394,6;0,4;91,3
330;5500;-394,4;0,6;91,7
336;5600;-394;0,5;92,2
342;5700;-393,8;0,6;92,7
348;5800;-393,5;0,7;93,1
354;5900;-393,3;0,8;93,6
360;6000;-393,1;0,9;93,9
366;6100;-392,9;0,9;94,1
372;6200;-392,8;0,9;94,4
378;6300;-392,6;0,8;94,7
384;6400;-392,6;0,9;94,9
390;6500;-392,5;0,9;94,8
396;6600;-392,5;0,8;95
402;6700;-392,7;0,8;94,7
408;6800;-392,9;0,8;94,3
414;6900;-393,1;0,8;93,8
420;7000;-393,3;0,6;93,2
426;7100;-393,6;0,6;92,7
432;7200;-393,7;0,5;92,5
438;7300;-393,9;0,5;92,1
444;7400;-394,1;0,5;91,8
450;7500;-394,2;0,4;91,5
456;7600;-394,3;0,5;91,3
462;7700;-394,5;0,4;90,8
468;7800;-394,8;0,3;90,4
474;7900;-395,1;0,2;90
480;8000;-395,3;0,1;89,7
486;8100;-395,3;0,2;89,4
492;8200;-395,5;0,1;89,3
498;8300;-395,5;0,2;89,2
504;8400;-395,7;0,1;89,1
510;8500;-395,7;0,2;89
516;8600;-395,7;0,3;88,9
522;8700;-395,8;0,3;88,7
528;8800;-395,9;0,4;88,6
534;8900;-396;0,3;88,8
540;9000;-395,9;0,4;88,9
546;9100;-395,9;0,4;89
552;9200;-395,5;0,4;89,5
558;9300;-395,3;0,5;90,1
564;9400;-395;0,5;90,7
570;9500;-394,7;0,7;91,1
576;9600;-394,5;0,6;91,5
582;9700;-394,2;0,7;91,9
588;9800;-393,9;0,7;92,5
594;9900;-393,7;0,8;93,1
600;10000;-393,5;0,9;93,5
606;10100;-393,2;0,8;93,9
612;10200;-393;0,9;94,2
618;10300;-393;0,9;94,4
624;10400;-392,9;1;94,5
630;10500;-392,9;1;94,3
636;10600;-393;0,9;94,1
642;10700;-393,2;0,9;94
648;10800;-393,2;0,8;93,6
654;10900;-393,5;0,8;93,3
660;11000;-393,6;0,7;93,1
666;11100;-393,6;0,7;93
672;11200;-393,8;0,8;92,8
678;11300;-393,8;0,7;92,5
684;11400;-393,9;0,7;92,2
690;11500;-394,1;0,6;92,2
696;11600;-394,1;0,7;92,2
702;11700;-394,1;0,7;92,2
708;11800;-394,2;0,6;92,1
714;11900;-394,2;0,7;92,2
720;12000;-394,2;0,7;92,2
726;12100;-394,2;0,7;92,1
732;12200;-394,3;0,7;91,9
738;12300;-394,3;0,6;91,7
744;12400;-394,4;0,6;91,8
750;12500;-394,4;0,6;91,9
756;12600;-394,3;0,7;91,9
762;12700;-394,3;0,6;92,1
768;12800;-394,3;0,7;92,1
774;12900;-394,3;0,7;91,7
780;13000;-394,6;0,6;91,1
786;13100;-394,9;0,6;90,5
792;13200;-395,2;0,4;89,9
798;13300;-395,5;0,4;89,4
804;13400;-395,6;0,3;89,3
810;13500;-395,8;0,4;89
816;13600;-396;0,4;88,9
822;13700;-396,1;0,3;88,7
828;13800;-396,3;0,4;88,5
834;13900;-396,4;0,4;88,3
840;14000;-396,5;0,5;88,2
846;14100;-396,2;1,2;91,3
852;14200;-395,9;1,5;94
858;14300;-396;1,6;93,8
864;14400;-396,2;1,7;93,3
870;14500;-396,2;1,9;93,5
876;14600;-396,3;2;93,4
882;14700;-396,2;1,9;92,3
888;14800;-396,3;1,7;91,5
894;14900;-396,2;1,7;90,6
900;15000;-394,9;2;92,2
906;15100;-392,7;2;94,8
912;15200;-390,3;1,7;97,4
918;15300;-389;1,5;99,4
924;15400;-388,4;1,6;100,2
931;15517;-389,5;1,3;99,5
937;15617;-389,8;1;99,5
943;15717;-390,4;1;99,2
949;15817;-390,6;1;98,8
955;15917;-390,8;1;98,6
961;16017;-391;0,9;98,2
967;16117;-391,2;0,9;97,9
973;16217;-391,5;0,9;97,4
979;16317;-391,5;0,9;97,2
985;16417;-391,7;0,9;97
991;16517;-391,8;0,8;96,8
997;16617;-392,1;0,8;96,5
1003;16717;-392,3;0,7;96
1009;16817;-392,7;0,7;95,4
1015;16917;-392,8;0,7;95,6
1021;17017;-393;0,8;95,9
1027;17117;-393;0,8;96
1033;17217;-393,3;0,8;94,9
1039;17317;-393,5;0,8;94,5
1045;17417;-393,5;0,8;94,7
1051;17517;-393,6;1;95
1057;17617;-393,9;1,1;95,4
1063;17717;-394;1,2;95,4
1069;17817;-394,2;1,2;94
1075;17917;-394,8;1;92,5
1081;18017;-395,2;0,9;91,4
1087;18117;-395;0,8;91,3
1093;18217;-394,6;0,9;91,2
1099;18317;-393,9;0,7;91,3
1105;18417;-394,1;0,7;91,5
1111;18517;-394,1;0,9;91,2
1117;18617;-394,2;0,8;91,1
1123;18717;-394,5;0,7;91,3
1129;18817;-394,7;0,6;91,6
1135;18917;-394,8;0,8;91,4
1141;19017;-395;0,7;90,8
1147;19117;-394,9;0,6;90,7
1153;19217;-394,5;0,8;91,7
1159;19317;-394;-0,5;93,4
1165;19417;-393,3;-1,6;94,7
1171;19517;-392;-1,7;96,3
1177;19617;-391,3;-1,4;97,4
1183;19717;-391,1;-1,1;97,9
1189;19817;-390,8;-1,2;98,3
1195;19917;-390,8;-1;98,4
1201;20017;-390,7;-0,8;98,4
1207;20117;-390,9;-0,7;98,1
1213;20217;-391,1;-0,9;97,9
1219;20317;-391,7;-1,4;97,3
1225;20417;-392,1;-1,8;96,8
1231;20517;-392,3;-1,9;96,4
1237;20617;-392,5;-1,8;96,1
1243;20717;-392,7;-1,6;95,7
1249;20817;-393;-1,5;95,1
1255;20917;-393,2;-1,4;94,5
1261;21017;-393,5;-1,3;94,2
1267;21117;-393,9;-1,4;93,3
