"Frame";"Timestamp";"x";"y";"z"
0;0;-283,9;0,1;100,5
6;100;-283,8;0,1;100,5
12;200;-283,9;0,1;100,5
18;300;-283,9;0,2;100,4
24;400;-284;0,1;100,4
30;500;-284;0,1;100,3
36;600;-284,2;0;100,3
42;700;-284,2;0;100,2
48;800;-284,3;0;100,1
54;900;-284,4;-0,1;99,9
60;1000;-284,5;0;99,9
66;1100;-284,7;-0,1;99,8
72;1200;-284,9;0;99,6
78;1300;-285;-0,2;99,5
84;1400;-285,1;-0,2;99,3
90;1500;-285,2;-0,1;99,2
96;1600;-285,3;-0,2;99
102;1700;-285,5;-0,2;98,9
108;1800;-285,6;-0,2;98,6
114;1900;-285,7;-0,1;98,4
120;2000;-286;-0,1;98,3
126;2100;-286,2;-0,2;98,1
132;2200;-286,3;-0,1;98
138;2300;-286,3;-0,2;97,8
144;2400;-286,5;-0,1;97,7
150;2500;-286,5;-0,1;97,6
156;2600;-286,6;-0,1;97,5
162;2700;-286,7;-0,2;97,4
168;2800;-286,8;-0,1;97,2
174;2900;-286,8;0;97,1
180;3000;-287;-0,1;97,1
186;3100;-287;0;97
192;3200;-287,1;-0,1;97
198;3300;-287,1;-0,1;96,9
204;3400;-287,1;-0,1;97
210;3500;-287;-0,1;96,9
216;3600;-287,2;-0,1;97
222;3700;-287,1;-0,2;96,9
228;3800;-287,1;0;97
234;3900;-287,1;-0,1;96,9
240;4000;-287,2;-0,1;97
246;4100;-287,2;0;96,9
252;4200;-287,1;-0,2;96,8
258;4300;-287,2;-0,1;96,9
264;4400;-287,1;-0,1;97
270;4500;-287,1;0;97
276;4600;-287;-0,2;97,1
282;4700;-286,8;-0,1;97,2
288;4800;-286,6;0;97,3
294;4900;-286,5;-0,1;97,5
300;5000;-286,4;-0,1;97,7
306;5100;-286,3;-0,1;97,8
312;5200;-286,2;-0,1;98,1
318;5300;-285,9;-0,2;98,2
324;5400;-285,7;-0,1;98,6
330;5500;-285,4;-0,1;98,8
336;5600;-285,2;-0,2;99
342;5700;-285,2;-0,1;99,2
348;5800;-284,9;0;99,3
354;5900;-284,9;0;99,5
360;6000;-284,8;0;99,6
366;6100;-284,7;0;99,6
372;6200;-284,6;0;99,7
378;6300;-284,4;0;99,9
384;6400;-284,4;0,1;100
390;6500;-284,3;0;100
396;6600;-284,3;0;100
402;6700;-284,3;0,1;100
408;6800;-284,4;0;99,9
414;6900;-284,6;0,1;99,8
420;7000;-284,6;0;99,7
426;7100;-284,7;-0,1;99,6
432;7200;-284,7;-0,1;99,6
438;7300;-284,8;-0,1;99,5
444;7400;-284,9;-0,1;99,5
450;7500;-285;-0,2;99,4
456;7600;-285,1;-0,1;99,3
462;7700;-285,2;-0,1;99,1
468;7800;-285,4;-0,2;99
474;7900;-285,4;-0,2;98,8
480;8000;-285,6;-0,2;98,7
486;8100;-285,6;-0,2;98,5
492;8200;-285,7;-0,3;98,4
498;8300;-285,8;-0,2;98,3
504;8400;-286;-0,2;98,3
510;8500;-286;-0,2;98,2
516;8600;-286,1;-0,2;98,2
522;8700;-286,2;-0,2;98
528;8800;-286,2;-0,2;98
534;8900;-286,1;-0,2;98
540;9000;-286,1;-0,1;98,1
546;9100;-286,1;-0,2;98,1
552;9200;-286;-0,2;98,2
558;9300;-285,8;-0,1;98,3
564;9400;-285,7;-0,2;98,5
570;9500;-285,6;-0,1;98,6
576;9600;-285,5;-0,2;98,7
582;9700;-285,4;-0,1;98,9
588;9800;-285,2;-0,2;99,1
594;9900;-285,1;-0,1;99,2
600;10000;-284,9;-0,1;99,4
606;10100;-284,9;-0,1;99,6
612;10200;-284,7;0;99,6
618;10300;-284,7;0;99,7
624;10400;-284,8;0;99,7
630;10500;-284,7;0;99,7
636;10600;-284,7;-0,1;99,7
642;10700;-284,7;0;99,7
648;10800;-284,7;-0,1;99,6
654;10900;-284,8;-0,1;99,6
660;11000;-285;-0,2;99,6
666;11100;-284,9;-0,1;99,5
672;11200;-285;-0,1;99,4
678;11300;-285,1;-0,1;99,3
684;11400;-285;-0,1;99,3
690;11500;-285,1;-0,2;99,3
696;11600;-285,1;-0,1;99,3
702;11700;-285;-0,1;99,2
708;11800;-285,1;-0,2;99,3
714;11900;-285,1;-0,2;99,3
720;12000;-285,1;-0,1;99,4
726;12100;-285,1;-0,1;99,4
732;12200;-285,1;-0,2;99,3
738;12300;-285,1;-0,2;99,3
744;12400;-285;-0,2;99,3
750;12500;-285,1;-0,2;99,4
756;12600;-285,1;-0,1;99,4
762;12700;-285,1;-0,2;99,5
768;12800;-285;-0,1;99,4
774;12900;-285,1;-0,1;99,3
780;13000;-285,3;-0,2;99,1
786;13100;-285,6;-0,1;98,7
792;13200;-285,7;-0,2;98,5
798;13300;-285,9;-0,2;98,3
804;13400;-286;-0,2;98,1
