"Frame";"Timestamp";"x";"y";"z"
0;0;-397,9;129;73,6
6;100;-397,8;129,1;73,7
12;200;-397,6;129,2;73,8
18;300;-397,5;129,3;73,9
24;400;-397,4;129,3;74
30;500;-397,2;129,3;74,1
36;600;-397,1;129,4;74,2
42;700;-397;129,5;74,3
48;800;-396,9;129,5;74,4
54;900;-396,9;129,6;74,5
60;2;-396,9;129,5;74,4
66;2,2;-397;129,6;74,4
72;1200;-397;129,4;74,4
78;1300;-397;129,4;74,3
84;1400;-397,2;129,3;74,3
90;1500;-397,3;129,2;74,2
96;1600;-397,4;129,2;74,1
102;1700;-397,5;129,1;74
108;1800;-397,7;129;73,9
114;1900;-397,9;128,9;73,7
120;2000;-398;128,7;73,6
126;2100;-398,2;128,6;73,4
132;2200;-398,3;128,5;73,4
138;2300;-398,5;128,5;73,3
144;2400;-398,6;128,3;73,2
150;2500;-398,8;128,3;73,1
156;2600;-398,9;128,2;73,1
162;2700;-399;128,2;73,1
168;2800;-399;128,2;73
174;2900;-399;128,1;72,8
180;3000;-399,1;128;72,8
186;3100;-399,2;128;72,8
192;3200;-399,2;128,1;72,8
198;3300;-399,3;128;72,8
204;3400;-399,3;128;72,8
210;3500;-399,3;128;72,7
216;3600;-399,3;128;72,7
222;3700;-399,3;128;72,7
228;3800;-399,3;128;72,7
234;3900;-399,2;128,1;72,6
240;4000;-399,2;128;72,5
246;4100;-399,2;127,9;72,5
252;4200;-399,3;128;72,6
258;4300;-399,3;128;72,6
264;4400;-399,4;127,9;72,6
270;4500;-399,3;127,9;72,6
276;4600;-399,2;128;72,6
282;4700;-399,2;128,1;72,7
288;4800;-399;128,2;72,7
294;4900;-398,9;128,4;72,9
300;5000;-398,8;128,5;73
306;5100;-398,6;128,6;73
312;5200;-398,6;128,7;73,1
318;5300;-398,4;128,9;73,3
324;5400;-398,2;129;73,5
330;5500;-398;129;73,6
336;5600;-397,9;129,1;73,7
342;5700;-397,7;129,2;73,8
348;5800;-397,5;129,3;73,9
354;5900;-397,4;129,4;74
360;6000;-397,3;129,5;74,1
366;6100;-397,2;129,5;74,1
372;6200;-397,1;129,5;74,2
378;6300;-397;129,5;74,3
384;6400;-397;129,5;74,4
390;6500;-396,9;129,5;74,4
396;6600;-396,8;129,5;74,4
402;6700;-396,7;129,5;74,4
408;6800;-396,8;129,5;74,5
414;6900;-396,8;129,6;74,4
420;7000;-396,8;129,5;74,3
426;7100;-396,9;129,5;74,2
432;7200;-397;129,4;74,2
438;7300;-397;129,3;74,1
444;7400;-397,1;129,3;74,1
450;7500;-397,2;129,2;74
456;7600;-397,2;129,2;73,9
462;7700;-397,4;129,2;73,9
468;7800;-397,4;129,1;73,8
474;7900;-397,6;129,1;73,7
480;8000;-397,6;128,9;73,5
486;8100;-397,8;128,9;73,4
492;8200;-398;128,7;73,4
498;8300;-398,1;128,7;73,2
504;8400;-398,3;128,6;73,2
510;8500;-398,4;128,5;73
516;8600;-398,5;128,4;72,9
522;8700;-398,6;128,4;72,9
528;8800;-398,7;128,3;72,8
534;8900;-398,8;128,3;72,7
540;9000;-398,9;128,1;72,6
546;9100;-399;128,1;72,6
552;9200;-399,1;128;72,6
558;9300;-399;128,1;72,5
564;9400;-399;128;72,4
570;9500;-399,1;128;72,4
576;9600;-399,2;128,1;72,4
582;9700;-399,2;128,1;72,5
588;9800;-399,2;128,1;72,4
594;9900;-399,2;128;72,4
600;10000;-399,1;128,1;72,3
606;10100;-399,2;128;72,3
612;10200;-399,3;128;72,3
618;10300;-399,2;128;72,3
624;10400;-399,2;128;72,2
630;10500;-399,2;128;72,3
636;10600;-399,3;128;72,3
642;10700;-399,2;128,1;72,3
648;10800;-399,2;128,1;72,4
654;10900;-399,1;128,2;72,5
660;11000;-398,9;128,4;72,6
666;11100;-398,9;128,4;72,6
672;11200;-398,6;128,5;72,7
678;11300;-398,5;128,6;72,9
684;11400;-398,3;128,8;73,1
690;11500;-398,1;128,9;73,2
696;11600;-398;128,9;73,3
702;11700;-397,8;129,1;73,4
708;11800;-397,6;129,2;73,6
714;11900;-397,5;129,2;73,8
720;12000;-397,3;129,3;73,9
726;12100;-397,2;129,4;74
732;12200;-397,1;129,4;74,1
738;12300;-397;129,4;74,2
744;12400;-396,8;129,5;74,2
750;12500;-396,8;129,4;74,3
756;12600;-396,8;129,4;74,4
762;12700;-396,8;129,4;74,4
768;12800;-396,7;129,5;74,2
774;12900;-396,9;129,4;74,3
780;13000;-397;129,5;74,2
786;13100;-397,1;129,4;74
792;13200;-397,2;129,2;73,9
798;13300;-397,4;129,1;73,9
804;13400;-397,5;129;73,8
810;13500;-397,6;128,9;73,6
816;13600;-397,8;128,9;73,6
822;13700;-397,9;128,8;73,5
828;13800;-398;128,8;73,3
834;13900;-398,2;128,6;73,3
840;14000;-398,3;128,6;73,1
846;14100;-398,4;128,4;73
852;14200;-398,7;128,3;73
858;14300;-398,6;128,3;72,9
864;14400;-398,9;128,2;72,9
870;14500;-398,8;128,1;72,8
876;14600;-399;128,1;72,7
882;14700;-398,9;128,1;72,6
888;14800;-399;128,1;72,6
894;14900;-399;128;72,6
900;15000;-399,1;128;72,4
906;15100;-399,2;127,9;72,5
912;15200;-399,2;127,9;72,4
918;15300;-399,1;128;72,4
