"Frame";"Timestamp";"x";"y";"z"
0;0;-343,3;140,7;65,5
6;100;-343,2;140,8;65,5
12;200;-343;140,8;65,6
18;300;-342,9;140,8;65,7
24;400;-342,8;140,8;65,7
30;500;-342,6;140,9;65,8
36;600;-342,5;140,9;65,8
42;700;-342,4;141;65,9
48;800;-342,4;141;66
54;900;-342,4;141,1;66
60;2;-342,1;141,3;66
66;2,2;-342,5;141;66,1
72;1200;-342,5;141;66
78;1300;-342,5;141;65,9
84;1400;-342,6;140,9;65,9
90;1500;-342,7;140,8;65,9
96;1600;-342,9;140,8;65,9
102;1700;-342,9;140,8;65,7
108;1800;-343,1;140,7;65,8
114;1900;-343,3;140,7;65,6
120;2000;-343,3;140,6;65,5
126;2100;-343,6;140,5;65,5
132;2200;-343,7;140,4;65,4
138;2300;-343,8;140,4;65,4
144;2400;-344;140,3;65,4
150;2500;-344,1;140,3;65,3
156;2600;-344,1;140,2;65,2
162;2700;-344,2;140,3;65,1
168;2800;-344,3;140,2;65,1
174;2900;-344,3;140,2;64,9
180;3000;-344,4;140,1;64,9
186;3100;-344,6;140,1;65
192;3200;-344,4;140,2;64,9
198;3300;-344,5;140,1;64,9
204;3400;-344,5;140,1;64,9
210;3500;-344,5;140,1;64,8
216;3600;-344,5;140,1;64,8
222;3700;-344,5;140,1;64,8
228;3800;-344,6;140,1;64,8
234;3900;-344,5;140,2;64,7
240;4000;-344,5;140,1;64,7
246;4100;-344,6;140,1;64,7
252;4200;-344,6;140,1;64,7
258;4300;-344,6;140,1;64,7
264;4400;-344,7;140;64,8
270;4500;-344,6;140;64,7
276;4600;-344,5;140,1;64,7
282;4700;-344,4;140,2;64,8
288;4800;-344,4;140,2;65
294;4900;-344,2;140,3;65
300;5000;-344;140,4;65
306;5100;-343,9;140,4;65,1
312;5200;-343,8;140,4;65,2
318;5300;-343,6;140,6;65,4
324;5400;-343,4;140,6;65,4
330;5500;-343,3;140,6;65,5
336;5600;-343,1;140,7;65,5
342;5700;-343;140,8;65,7
348;5800;-342,9;140,9;65,7
354;5900;-342,7;140,9;65,7
360;6000;-342,6;141;65,7
366;6100;-342,5;141;65,7
372;6200;-342,6;141;65,8
378;6300;-342,5;141;65,9
384;6400;-342,4;141;65,9
390;6500;-342,4;141;65,9
396;6600;-342,3;141;65,9
402;6700;-342,3;141;65,9
408;6800;-342,3;141;66
414;6900;-342,3;141,1;65,9
420;7000;-342,4;141,1;65,9
426;7100;-342,4;141;65,8
432;7200;-342,6;141;65,8
438;7300;-342,6;140,9;65,8
444;7400;-342,7;140,9;65,8
450;7500;-342,7;140,8;65,7
456;7600;-342,8;140,8;65,7
462;7700;-342,9;140,8;65,7
468;7800;-343;140,8;65,6
474;7900;-343,1;140,8;65,5
480;8000;-343,2;140,7;65,5
486;8100;-343,3;140,6;65,3
492;8200;-343,5;140,5;65,3
498;8300;-343,5;140,5;65,2
504;8400;-343,7;140,4;65,2
510;8500;-343,8;140,3;65,1
516;8600;-343,9;140,4;65
522;8700;-344;140,3;65
528;8800;-344,1;140,3;65
534;8900;-344,2;140,3;64,8
540;9000;-344,4;140,2;64,8
546;9100;-344,5;140,2;64,7
552;9200;-344,5;140,1;64,7
558;9300;-344,5;140,2;64,7
564;9400;-344,5;140,1;64,6
570;9500;-344,5;140,1;64,6
576;9600;-344,6;140,1;64,6
582;9700;-344,5;140,1;64,6
588;9800;-344,6;140,2;64,6
594;9900;-344,6;140,1;64,6
600;10000;-344,6;140,2;64,5
606;10100;-344,6;140,1;64,5
612;10200;-344,8;140,1;64,5
618;10300;-344,7;140,1;64,5
624;10400;-344,7;140,1;64,5
630;10500;-344,7;140,1;64,5
636;10600;-344,7;140,1;64,5
642;10700;-344,6;140,1;64,5
648;10800;-344,6;140,2;64,6
654;10900;-344,4;140,2;64,6
660;11000;-344,2;140,3;64,7
666;11100;-344,2;140,3;64,7
672;11200;-344;140,3;64,9
678;11300;-343,9;140,4;65
684;11400;-343,6;140,5;65
690;11500;-343,5;140,5;65,2
696;11600;-343,3;140,6;65,3
702;11700;-343,2;140,7;65,3
708;11800;-343;140,7;65,5
714;11900;-342,9;140,8;65,5
720;12000;-342,7;140,9;65,6
726;12100;-342,6;140,9;65,6
732;12200;-342,6;140,9;65,7
738;12300;-342,5;140,9;65,7
744;12400;-342,4;140,9;65,8
750;12500;-342,3;140,9;65,8
756;12600;-342,3;140,9;65,9
762;12700;-342,3;140,9;65,8
768;12800;-342,4;141;65,9
774;12900;-342,4;141;65,8
780;13000;-342,5;141;65,8
786;13100;-342,6;141;65,7
792;13200;-342,9;140,9;65,8
798;13300;-342,8;140,8;65,7
804;13400;-343;140,7;65,6
810;13500;-343,1;140,6;65,6
816;13600;-343,2;140,6;65,5
822;13700;-343,4;140,5;65,5
