"Frame";"Timestamp";"x";"y";"z"
0;0;-466,6;14,8;67,8
6;100;-466,8;14,7;67,7
12;200;-467,1;14,6;67,8
18;300;-467,3;14,5;68
24;400;-467,3;14,6;68,2
30;500;-467,6;14,5;68,2
36;600;-467,8;14,3;68,3
42;700;-467,9;14,2;68,2
48;800;-468;14,1;68,2
54;900;-468,1;14,1;68,2
60;1000;-468,1;14;68,1
66;1100;-468,2;14;68,2
72;1200;-468,1;13,9;68,6
78;1300;-467,9;13,8;69,3
84;1400;-467,2;13,8;69,8
90;1500;-467;13,6;70
96;1600;-467;13,5;69,9
102;1700;-467,1;13,5;69,8
108;1800;-467,2;13,4;69,9
114;1900;-466,8;13,1;70,5
120;2000;-466,7;12,9;70,7
126;2100;-466,4;12,9;70,6
132;2200;-466,6;12,8;70,6
138;2300;-466,4;12,7;70,4
144;2400;-465,9;12,6;70,3
150;2500;-465,9;12,5;70,1
156;2600;-466;12,6;69,9
162;2700;-466,3;12,6;69,6
168;2800;-466,4;12,8;69,4
174;2900;-466,6;12,8;69,3
180;3000;-466,9;12,9;69,1
186;3100;-467,1;13,1;68,7
192;3200;-467,1;13,1;68,7
198;3300;-467,3;13,1;68,8
204;3400;-467,1;13,3;68,5
210;3500;-467;13,7;68,2
216;3600;-466,9;13,6;68,3
222;3700;-466,7;13,4;68,5
228;3800;-466,5;13,4;68,4
234;3900;-466,6;13,4;68,5
240;4000;-466,7;13,5;68,6
246;4100;-466,5;13,3;68,6
253;4217;-466,4;13,2;68,7
259;4317;-466,3;13,1;68,9
265;4417;-466,4;12,9;69,2
271;4517;-466,4;12,7;69,7
277;4617;-466,1;12,6;70,1
283;4717;-466,1;12,5;70,2
289;4817;-465,9;12,5;70,2
295;4917;-465,8;12,4;70,3
301;5017;-465,6;12,1;70,2
307;5117;-465,5;12;70,6
313;5217;-465,5;12;71
319;5317;-465,4;11,8;71,4
325;5417;-465,2;11,7;71,9
331;5517;-464,8;11,6;71,9
337;5617;-464,8;11,6;72
343;5717;-464,7;11,6;72,3
349;5817;-464,5;11,5;72,4
355;5917;-464,2;11,5;72,3
361;6017;-463,9;11,4;72,5
367;6117;-464;11,4;73,1
373;6217;-463,6;11,3;73,6
379;6317;-463,4;11,3;73,8
385;6417;-463,1;11,3;74,1
391;6517;-462,9;11,4;74,6
397;6617;-462,8;11,4;75,1
403;6717;-462,7;11,4;75,7
409;6817;-462,3;11,3;76,2
415;6917;-461,6;11,3;76,7
421;7017;-461;11,3;77
427;7117;-460,6;11,4;77,6
433;7217;-460,6;11,4;78,6
439;7317;-460,6;11,5;79,5
445;7417;-460,7;11,9;80,3
451;7517;-460,6;12,2;81,1
457;7617;-460,3;12,4;81,8
463;7717;-459,8;12,6;82,2
469;7817;-459,6;12,7;83
475;7917;-459,4;12,8;83,8
481;8017;-458,9;12,8;84,4
487;8117;-458,5;12,9;85,2
493;8217;-457,8;13,1;85,5
499;8317;-457,4;13;86,4
505;8417;-456,9;13;87,3
511;8517;-456,6;13,1;88,2
517;8617;-456,2;13,2;88,9
523;8717;-455,8;13,2;89,8
529;8817;-455,4;13;90,8
535;8917;-455,1;12,8;91,7
541;9017;-455,2;12,7;93,2
547;9117;-455,1;12,7;94,5
553;9217;-454,7;12,6;95,5
559;9317;-454,3;12,5;96,3
565;9417;-453,7;12,2;96,8
571;9517;-453,4;12,2;97,2
577;9617;-453,3;12,4;97,3
583;9717;-453,3;12,5;97,5
589;9817;-453,3;12,7;97,6
595;9917;-453,4;13;97,4
601;10017;-453,2;13,2;96,7
607;10117;-453;13,2;95,8
613;10217;-452,9;13,1;94,9
619;10317;-452,9;13,1;94,3
625;10417;-452,8;13,1;93,6
631;10517;-452,7;13,1;93,2
637;10617;-452,7;13;92,7
643;10717;-452,5;13;92,1
649;10817;-452,5;13;91,9
655;10917;-452,4;13;91,4
661;11017;-452,3;13,1;90,7
667;11117;-452,3;13,2;90
673;11217;-453,1;14,6;89,4
679;11317;-453,3;15,2;88,4
