"Frame";"Timestamp";"x";"y";"z"
0;0;-403,4;126,6;68,1
6;100;-403,6;126,6;67,7
12;200;-403,9;126,7;67,2
18;300;-404;126,7;66,6
24;400;-404;126,6;66
30;500;-404,1;126,6;65,4
36;600;-404,2;126,5;65
42;700;-404,3;126,4;64,5
48;800;-404,4;126,4;64,2
54;900;-404,4;126,4;63,9
60;1000;-404,6;126,4;63,5
66;1100;-404,5;126,5;63,3
72;1200;-404,7;126,4;62,9
78;1300;-404,9;125,8;61,8
84;1400;-404,5;125,6;61,3
90;1500;-404,5;125,6;61,1
96;1600;-404,6;125,5;61
102;1700;-404,6;125,5;60,9
108;1800;-404,6;125,5;60,5
114;1900;-404;125,5;60,2
120;2000;-404,2;125,2;59,9
126;2100;-404;125,1;59,9
132;2200;-404,3;125;59,6
138;2300;-404,2;124,7;59,1
144;2400;-403,9;124,4;58,5
150;2500;-404;124,5;58,5
156;2600;-403,9;124,6;59
162;2700;-403,8;124,8;59,5
168;2800;-403,7;125,1;60,3
174;2900;-403,5;125,4;61
180;3000;-403,4;125,8;61,9
186;3100;-403,5;126,3;63,1
192;3200;-403,4;126,5;63,8
198;3300;-403,3;126,6;64,2
204;3400;-403,2;126,9;64,7
210;3500;-403,1;127,2;65,3
216;3600;-403,1;127,2;65,9
222;3700;-403;127,3;66,3
228;3800;-402,7;127,2;66,8
234;3900;-402,7;127,3;67,3
240;4000;-402,5;127,3;67,8
246;4100;-402,4;127,3;68,3
253;4217;-402,2;127,3;69
259;4317;-402,1;127,4;69,6
265;4417;-402;127,5;70,1
271;4517;-401,9;127,5;70,7
277;4617;-401,7;127,6;71,2
283;4717;-401,7;127,7;71,8
289;4817;-401,7;127,7;72,5
295;4917;-401,5;127,7;73
301;5017;-401,3;127,6;73,8
307;5117;-401,2;127,7;74,5
313;5217;-401,1;127,8;75
319;5317;-401;128;75,8
325;5417;-400,8;128;76,3
331;5517;-400,6;128;76,9
337;5617;-400,6;128,1;77,5
343;5717;-400,4;128,2;78,1
349;5817;-400,2;128,2;78,8
355;5917;-400,1;128,3;79,4
361;6017;-399,9;128,4;80
367;6117;-399,7;128,5;80,6
373;6217;-399,3;128,4;81,3
379;6317;-399,1;128,4;81,9
385;6417;-398,7;128,4;82,5
391;6517;-398,4;128,4;83,2
397;6617;-398;128,4;83,8
403;6717;-397,9;128,5;84,6
409;6817;-397,5;128,6;85,3
415;6917;-396,9;128,5;86,1
421;7017;-396,6;128,6;86,9
427;7117;-396;128,6;87,6
433;7217;-395,7;128,6;88,2
439;7317;-395,4;128,7;88,4
445;7417;-395,2;129,1;88,4
451;7517;-394,8;129,4;88,8
457;7617;-394,3;129,5;89,3
463;7717;-393,7;129,5;89,9
469;7817;-393,2;129,5;90,6
475;7917;-392,6;129,5;91,4
481;8017;-391,9;129,4;92,1
487;8117;-391,2;129,3;93,1
493;8217;-390,5;129,1;94
499;8317;-389,9;129;94,8
505;8417;-389,2;128,8;95,6
511;8517;-388,6;128,7;96,2
517;8617;-387,9;128,6;96,8
523;8717;-387;128,4;97,3
529;8817;-386,2;128;98
535;8917;-385,7;127,6;98,3
541;9017;-385,1;127,4;98,3
547;9117;-384,8;127,3;98,2
553;9217;-384,1;127,1;98,4
559;9317;-383,7;126,7;98,9
565;9417;-383;126,3;99,4
571;9517;-382,7;126,1;99,7
577;9617;-382,7;126,1;99,8
583;9717;-382,8;126,1;100
589;9817;-382,9;126,2;100
595;9917;-383,1;126,4;99,9
601;10017;-383,4;126,7;100,1
607;10117;-383,6;126,8;100,2
613;10217;-383,9;126,8;100,5
619;10317;-384,1;126,9;100,6
625;10417;-384,3;127;100,7
631;10517;-384,5;127,1;100,8
637;10617;-384,7;127,1;101
643;10717;-384,8;127,1;101,1
649;10817;-384,8;127,1;101,2
655;10917;-385,2;127,2;101,3
661;11017;-385,5;127,3;101,3
667;11117;-385,8;127,3;101,1
673;11217;-386,6;128,4;99,7
679;11317;-387,1;129;99,3
685;11417;-387,1;129,1;99,4
691;11517;-387,4;129,1;99,4
697;11617;-387,8;128,9;99,5
703;11717;-388;128,8;99,4
709;11817;-388,3;128,7;99,3
715;11917;-388,5;128,6;99,2
721;12017;-388,8;128,5;99
727;12117;-389,1;128,3;98,9
733;12217;-389,4;128,3;98,6
739;12317;-389,6;128,2;98,2
745;12417;-390;128,1;98,1
751;12517;-390,3;128,1;97,7
757;12617;-390,6;128;97,4
763;12717;-391;127,8;97,1
769;12817;-391,2;127,7;96,9
775;12917;-391,6;127,5;96,7
781;13017;-391,9;127,4;96,4
787;13117;-392,3;127,4;96,1
793;13217;-392,7;127,3;95,7
799;13317;-393,1;127,3;95,4
805;13417;-393,4;127,2;95,1
811;13517;-393,6;127;94,9
817;13617;-394;126,9;94,6
823;13717;-394,2;126,7;94,5
829;13817;-394,4;126,6;94,3
835;13917;-394,7;126,4;94,2
841;14017;-394,9;126,1;94
847;14117;-395,2;126;93,8
853;14217;-395,5;125,9;93,5
859;14317;-395,8;125,7;93,2
865;14417;-396,1;125,6;92,8
871;14517;-396,2;125,6;92,4
877;14617;-396,5;125,5;91,8
883;14717;-396,8;125,4;91,1
889;14817;-396,9;125,3;90,6
895;14917;-397,1;125,2;90
901;15017;-397,4;125,3;89,5
907;15117;-397,6;125,1;88,8
913;15217;-397,7;125,1;88,2
919;15317;-397,8;125,1;87,7
925;15417;-397,9;125,1;87
931;15517;-398,1;125;86,5
937;15617;-398,1;124,9;85,8
943;15717;-398,4;124,9;85,2
949;15817;-398,5;125;84,5
955;15917;-398,5;124,8;83,8
961;16017;-398,7;124,8;83,2
967;16117;-398,8;124,8;82,7
973;16217;-398,9;124,9;81,9
979;16317;-399;124,9;81,2
985;16417;-399,1;124,9;80,4
991;16517;-399,4;124,9;79,6
997;16617;-399,6;125;78,9
1003;16717;-399,9;124,9;78,4
1009;16817;-400,1;124,9;77,7
1015;16917;-400,3;125;77,1
1021;17017;-400,3;125;76,5
1027;17117;-400,6;125;76,2
1033;17217;-400,6;125,1;75,7
1039;17317;-400,9;125,1;75,3
1045;17417;-401,1;125,1;74,6
1051;17517;-401,2;125,2;74,2
1057;17617;-401,5;125,3;73,8
1063;17717;-401,7;125,3;73,3
1069;17817;-401,9;125,3;72,9
1075;17917;-402;125,3;72,7
1081;18017;-402,1;125,3;72,6
1087;18117;-402,1;125,4;72,4
