"Frame";"Timestamp";"x";"y";"z"
0;0;-349,5;139,2;61,1
6;100;-349,8;139,1;60,7
12;200;-350,4;139,2;60,2
18;300;-350,6;139,2;59,6
24;400;-350,9;139,3;59
30;500;-351,2;139,3;58,4
36;600;-351,5;139,4;57,8
42;700;-351,9;139,4;57,4
48;800;-352;139,5;57
54;900;-352,2;139,6;56,6
60;1000;-352,5;139,6;56,2
66;1100;-352,6;139,7;55,9
72;1200;-352,9;139,7;55,5
78;1300;-353,1;139,3;54,9
84;1400;-352,8;139,4;54,5
90;1500;-352,9;139,4;54,3
96;1600;-353,1;139,3;54,1
102;1700;-353,2;139,3;53,8
108;1800;-353,4;139,5;53,2
114;1900;-353,8;139,7;52,2
120;2000;-354,4;139,7;51,8
126;2100;-354,3;139,6;51,7
132;2200;-354,7;139,6;51,5
138;2300;-354,8;139,6;50,8
144;2400;-355;139,6;49,8
150;2500;-355,3;139,7;49,9
156;2600;-355;139,7;50,1
162;2700;-354,8;139,8;50,7
168;2800;-354,5;139,8;51,5
174;2900;-354;139,8;52,2
180;3000;-353,8;139,9;53,1
186;3100;-353,4;140,1;54
192;3200;-353,1;140,1;54,6
198;3300;-352,9;140,1;55
204;3400;-352,7;140,1;55,7
210;3500;-352,3;140,2;56,4
216;3600;-352;140,1;56,9
222;3700;-351,7;140,1;57,3
228;3800;-351,3;140;58
234;3900;-350,9;140;58,4
240;4000;-350,5;139,9;58,9
246;4100;-350,2;139,8;59,5
253;4217;-349,7;139,8;60,3
259;4317;-349,4;139,8;60,9
265;4417;-349;139,8;61,6
271;4517;-348,6;139,8;62
277;4617;-348,1;139,8;62,6
283;4717;-347,8;139,9;63,4
289;4817;-347,3;139,8;64
295;4917;-346,8;139,8;64,6
301;5017;-346,3;139,8;65,3
307;5117;-345,8;139,8;65,9
313;5217;-345,4;140;66,5
319;5317;-345;140,1;67
325;5417;-344,5;140,1;67,6
331;5517;-343,9;140,2;68,1
337;5617;-343,5;140,3;68,6
343;5717;-343;140,4;69,2
349;5817;-342,4;140,5;69,9
355;5917;-341,8;140,7;70,3
361;6017;-341,3;140,9;70,9
367;6117;-340,7;141,1;71,3
373;6217;-340;141,1;71,8
379;6317;-339,5;141,3;72,4
385;6417;-338,7;141,3;72,9
391;6517;-338,1;141,4;73,6
397;6617;-337,6;141,5;74,2
403;6717;-337;141,7;74,8
409;6817;-336,3;141,9;75,3
415;6917;-335,4;142;76
421;7017;-334,7;142,2;76,8
427;7117;-334;142,3;77,4
433;7217;-333,5;142,4;78
439;7317;-333,1;142,6;78,3
445;7417;-332,7;143,1;78,4
451;7517;-332,1;143,5;78,8
457;7617;-331,5;143,6;79,4
463;7717;-330,7;143,7;79,9
469;7817;-330,1;143,8;80,6
475;7917;-329,3;143,8;81,2
481;8017;-328,4;143,8;82,1
487;8117;-327,4;143,7;83
493;8217;-326,1;143,6;84
499;8317;-325,3;143,6;84,8
505;8417;-324,4;143,6;85,6
511;8517;-323,6;143,6;86,3
517;8617;-322,8;143,6;86,9
523;8717;-322;143,6;87,6
529;8817;-321,3;143,3;88,4
535;8917;-320,8;143;88,8
541;9017;-320,6;142,9;89
547;9117;-320,4;142,9;89
553;9217;-320;142,8;89,5
559;9317;-319,4;142,7;90
565;9417;-318,8;142,3;90,7
571;9517;-318,5;142,1;91,2
577;9617;-318,4;142,2;91,5
583;9717;-318,4;142,2;91,6
589;9817;-318,6;142,2;91,7
595;9917;-318,7;142,3;91,6
601;10017;-318,7;142,5;91,7
607;10117;-318,8;142,5;91,8
613;10217;-318,8;142,4;91,9
619;10317;-318,8;142,4;92
625;10417;-318,9;142,5;92
631;10517;-319,1;142,5;92,1
637;10617;-319;142,4;92,2
643;10717;-319,1;142,5;92,4
649;10817;-319;142,5;92,5
655;10917;-319,2;142,6;92,5
661;11017;-319,2;142,6;92,4
667;11117;-319,5;142,7;92,3
673;11217;-320,5;143,5;91,3
679;11317;-321,1;144,1;90,9
685;11417;-321,1;144;90,9
691;11517;-321,2;143,9;91
697;11617;-321,4;143,8;91
703;11717;-321,6;143,6;91,1
709;11817;-321,8;143,5;90,9
715;11917;-322,1;143,4;90,8
721;12017;-322,3;143,3;90,7
727;12117;-322,6;143,2;90,6
733;12217;-323;143,1;90,4
739;12317;-323,4;143;90,1
