"Frame";"Timestamp";"x";"y";"z"
0;0;-298,7;-5,3;124,7
7;117;-298,8;-5,1;124,8
13;217;-298,8;-5,2;124,9
19;317;-298,9;-5,1;125
25;417;-299,2;-5,4;124,9
31;517;-299,4;-5,3;124,8
37;617;-299,4;-5,4;124,7
43;717;-299,5;-5,4;124,7
49;817;-299,7;-5,3;124,5
55;917;-299,9;-5,5;124,5
61;1017;-300;-5,4;124,3
67;1117;-300,3;-5,6;124
73;1217;-300,4;-5,5;124
79;1317;-300,5;-5,4;123,9
85;1417;-300,7;-5,5;123,8
91;1517;-300,7;-5,4;123,7
97;1617;-300,8;-5,6;123,6
103;1717;-300,9;-5,4;123,5
109;1817;-301;-5,6;123,5
115;1917;-301,1;-5,5;123,4
121;2017;-301,2;-5,6;123,3
127;2117;-301,2;-5,6;123,2
133;2217;-301,5;-5,5;123,1
139;2317;-301,4;-5,7;123
145;2417;-301,5;-5,5;123
151;2517;-301,6;-5,6;122,9
157;2617;-301,5;-5,5;122,9
163;2717;-301,6;-5,6;122,8
169;2817;-301,6;-5,6;122,9
175;2917;-301,6;-5,5;122,9
181;3017;-301,6;-5,7;122,7
187;3117;-301,6;-5,5;122,7
193;3217;-301,5;-5,5;122,6
199;3317;-301,6;-5,5;122,4
205;3417;-301,4;-5,3;122,6
211;3517;-301,4;-5,4;122,7
217;3617;-301,3;-5,2;122,7
223;3717;-301,1;-5,4;122,9
229;3817;-300,8;-5,3;123
235;3917;-300,7;-5,3;123
241;4017;-300,5;-5,2;123,2
247;4117;-300,3;-5,2;123,3
253;4217;-300,1;-5,3;123,4
259;4317;-300;-5,2;123,6
265;4417;-299,9;-5,3;123,7
271;4517;-299,6;-5,2;123,7
277;4617;-299,5;-5,2;123,9
283;4717;-299,4;-5,2;124
289;4817;-299,2;-5,2;124,2
295;4917;-299,1;-5,4;124,4
301;5017;-299,1;-5,2;124,6
307;5117;-299;-5,4;124,5
313;5217;-299,1;-5,3;124,7
319;5317;-299,2;-5,4;124,8
325;5417;-299,3;-5,5;124,8
331;5517;-299,5;-5,4;124,6
337;5617;-299,8;-5,5;124,6
343;5717;-299,9;-5,3;124,5
349;5817;-300,1;-5,4;124,4
355;5917;-300,2;-5,4;124,3
361;6017;-300,4;-5,4;124,2
367;6117;-300,5;-5,5;124,1
373;6217;-300,5;-5,3;124,1
379;6317;-300,7;-5,5;123,9
385;6417;-300,8;-5,3;123,8
391;6517;-300,9;-5,5;123,6
397;6617;-301;-5,4;123,5
403;6717;-301,2;-5,3;123,5
409;6817;-301,2;-5,4;123,3
415;6917;-301,3;-5,3;123,3
421;7017;-301,3;-5,5;123,2
427;7117;-301,4;-5,4;123,2
433;7217;-301,4;-5,5;123,1
439;7317;-301,5;-5,4;123,1
445;7417;-301,5;-5,4;123
451;7517;-301,5;-5,5;123
457;7617;-301,7;-5,3;122,9
463;7717;-301,6;-5,5;122,7
469;7817;-301,6;-5,3;122,7
475;7917;-301,6;-5,3;122,7
481;8017;-301,3;-5,3;122,7
487;8117;-301,3;-5,2;122,8
493;8217;-301,2;-5,3;122,9
499;8317;-301,1;-5,1;122,9
505;8417;-300,9;-5,2;122,9
511;8517;-300,6;-5,1;123
517;8617;-300,5;-5,1;123,1
523;8717;-300,3;-5,2;123,1
529;8817;-300,1;-4,9;123,3
535;8917;-299,8;-4,9;123,6
541;9017;-299,5;-4,8;123,8
547;9117;-299,1;-5;124
553;9217;-299;-4,9;124,3
559;9317;-298,8;-4,9;124,4
565;9417;-298,6;-4,9;124,6
571;9517;-298,4;-4,9;124,7
577;9617;-298,3;-5,1;124,9
583;9717;-298,4;-5;125
589;9817;-298,3;-5;125,1
595;9917;-298,4;-4,9;125,3
601;10017;-298,5;-5;125,2
607;10117;-298,8;-5,2;125,1
613;10217;-299;-5,1;125,1
619;10317;-299,3;-5,2;124,9
625;10417;-299,5;-5,1;124,7
631;10517;-299,7;-5,3;124,6
