"Frame";"Timestamp";"x";"y";"z"
0;0;-433,6;-9,9;146,1
6;100;-434,2;-10;145,5
12;200;-434,9;-10,3;144,2
18;300;-435,5;-10,7;142,8
24;400;-436,1;-10,7;141,7
30;500;-436,5;-10,6;140,7
36;600;-437;-10,5;139,6
42;700;-437,4;-10,5;138,8
48;800;-437,7;-10,6;138,1
54;900;-437,9;-10,4;137,7
60;1000;-438,2;-10,1;136,9
66;1100;-438,5;-10,2;136,3
72;1200;-438,6;-10,4;136,1
78;1300;-438,7;-10,4;135,8
84;1400;-439;-10,1;135,3
90;1500;-439,1;-10,2;135
96;1600;-439,2;-10,2;134,7
102;1700;-439,4;-10,2;134,6
108;1800;-439,6;-10,1;134,5
114;1900;-439,6;-10,1;134,4
120;2000;-439,9;-10,2;134,2
126;2100;-439,8;-10,2;134,1
132;2200;-439,8;-10,3;134,7
138;2300;-439,7;-10,2;135,5
144;2400;-439,6;-10,2;136,4
150;2500;-439,1;-10,1;137,4
156;2600;-438,7;-10,1;138,4
162;2700;-438,4;-10,2;139,3
168;2800;-438,1;-10,1;140,2
174;2900;-437,7;-10,1;141,2
180;3000;-437,4;-10;142
186;3100;-437;-10,2;142,6
192;3200;-436,6;-10,3;143,2
199;3317;-436,3;-10,2;143,8
205;3417;-436,1;-10,2;144,1
211;3517;-436,1;-10,1;143,7
217;3617;-436,4;-10,2;142,5
223;3717;-436,6;-10,1;141,7
229;3817;-437,1;-10,2;140,5
235;3917;-437,4;-10,2;139,7
241;4017;-437,8;-10,4;138,8
247;4117;-438,1;-10,4;138
253;4217;-438,3;-10,4;137,5
260;4333;-438,5;-10,5;137
266;4433;-438,7;-10,4;136,5
272;4533;-438,9;-10,5;136
278;4633;-439;-10,4;135,6
284;4733;-439,2;-10,4;135,2
290;4833;-439,4;-10,5;135
296;4933;-439,4;-10,4;134,9
302;5033;-439,6;-10,5;134,6
308;5133;-439,7;-10,4;134,3
314;5233;-439,8;-10,5;134,2
320;5333;-439,9;-10,5;134,2
326;5433;-440;-10,5;134
332;5533;-440;-10,5;133,9
338;5633;-440,1;-10,4;133,9
344;5733;-440,1;-10,5;133,9
350;5833;-440,1;-10,4;134,2
356;5933;-439,7;-10,4;135,1
362;6033;-439,4;-10,3;135,5
368;6133;-439,2;-10;136
374;6233;-438,4;-9,8;136,9
380;6333;-437,9;-9,6;137,8
386;6433;-437,4;-9,7;138,5
392;6533;-436,8;-9,6;139,8
398;6633;-436,4;-9,7;140,8
404;6733;-435,9;-9,6;141,4
410;6833;-435,1;-9,6;142,4
416;6933;-434,8;-9,8;143,3
422;7033;-434,3;-9,7;144,1
428;7133;-433,9;-9,8;144,7
434;7233;-433,6;-9,8;145,3
440;7333;-433,5;-9,9;145,3
446;7433;-434,1;-9,8;144,9
452;7533;-434,8;-9,9;144
458;7633;-435,3;-10,2;143
464;7733;-435,9;-10,3;142,1
470;7833;-436,3;-10,5;141,1
476;7933;-436,8;-10,4;140,1
482;8033;-437,1;-10,4;139,4
488;8133;-437,4;-10,5;138,6
494;8233;-437,8;-10,4;138
500;8333;-438,1;-10,5;137,5
506;8433;-438,2;-10,5;137,2
512;8533;-438,5;-10,5;136,7
518;8633;-438,7;-10,5;136,3
524;8733;-438,8;-10,6;136
530;8833;-439,1;-10,6;135,6
536;8933;-439,2;-10,5;135,3
542;9033;-439,2;-10,5;135
548;9133;-439,4;-10,5;135
554;9233;-439,5;-10,5;134,6
560;9333;-439,6;-10,5;134,3
566;9433;-439,7;-10,6;134,2
572;9533;-439,9;-10,6;134,1
578;9633;-439,9;-10,6;134
584;9733;-439,9;-10,6;133,8
590;9833;-439,9;-10,4;134
596;9933;-439,8;-10,5;134,1
602;10033;-439,7;-10,4;134,4
608;10133;-439,3;-10,2;135
614;10233;-439,1;-10;135,6
620;10333;-438,8;-9,8;136,1
626;10433;-438,4;-9,9;136,7
632;10533;-438;-9,9;137,4
638;10633;-437,7;-9,9;138
644;10733;-437,4;-9,8;138,8
650;10833;-437,2;-9,9;139,9
656;10933;-436,8;-9,9;140,9
662;11033;-436,4;-9,7;142
668;11133;-436;-9,6;142,8
674;11233;-435,4;-9,5;143,7
680;11333;-435;-9,5;144,6
686;11433;-434,7;-9,6;145,4
692;11533;-434,3;-9,7;146,1
698;11633;-433,8;-9,8;146,7
704;11733;-433,4;-9,6;147,9
710;11833;-432,7;-9,7;149,4
716;11933;-432,7;-9,7;149,1
722;12033;-433,3;-9,9;148,2
728;12133;-434;-9,9;147,5
734;12233;-434,7;-9,9;146,3
740;12333;-435,4;-10,2;144,7
746;12433;-435,9;-10,4;143,3
752;12533;-436,3;-10,6;142,1
758;12633;-436,8;-10,6;141
764;12733;-437,3;-10,5;140,1
770;12833;-437,6;-10,6;139,4
776;12933;-437,9;-10,7;138,6
782;13033;-438,2;-10,8;138
788;13133;-438,5;-10,8;137,4
794;13233;-438,7;-10,8;137
800;13333;-438,9;-10,8;136,5
806;13433;-439,1;-10,8;135,9
812;13533;-439,2;-10,8;135,5
818;13633;-439,4;-10,8;135,2
824;13733;-439,6;-10,9;134,9
830;13833;-439,7;-10,8;134,6
836;13933;-439,9;-10,9;134,4
842;14033;-440;-10,9;134,1
848;14133;-440,1;-10,9;134
854;14233;-440,2;-10,8;134,1
860;14333;-440,2;-10,8;133,9
866;14433;-440,4;-10,8;133,8
872;14533;-440,3;-10,8;133,8
878;14633;-440,1;-10,9;134,2
884;14733;-439,9;-10,8;134,8
890;14833;-439,8;-10,7;135,3
896;14933;-439,5;-10,7;135,7
902;15033;-439,2;-10,7;136,4
908;15133;-438,9;-10,7;137
914;15233;-438,4;-10,5;137,9
920;15333;-438,1;-10,5;138,6
926;15433;-437,7;-10,5;139,3
932;15533;-437,1;-10,7;140,1
938;15633;-436,6;-10,7;140,9
944;15733;-436,1;-10,6;141,7
950;15833;-435,7;-10,5;142,3
956;15933;-435,2;-10,4;142,5
962;16033;-434,4;-10,5;142,9
968;16133;-434;-10,5;143,4
974;16233;-433,6;-10,4;143,9
980;16333;-433,3;-10,4;144,2
986;16433;-433,2;-10,4;144,3
992;16533;-433,3;-10,4;143,8
998;16633;-433,6;-10,5;143,1
1004;16733;-434;-10,5;142,2
1010;16833;-434,8;-10,4;141,4
1016;16933;-435,3;-10,5;140,5
1022;17033;-435,8;-10,7;139,7
1028;17133;-436,3;-10,8;138,7
1034;17233;-436,5;-10,9;138,1
1040;17333;-437;-11;137,4
1046;17433;-437,4;-11;136,7
1052;17533;-437,5;-11,1;136,2
1058;17633;-437,8;-11,1;135,8
1064;17733;-438,1;-11,1;135,2
1070;17833;-438,3;-11,1;134,8
1076;17933;-438,5;-11,2;134,5
1082;18033;-438,7;-11,2;134,2
1088;18133;-438,9;-11,2;134
1094;18233;-439;-11,1;134
1100;18333;-439,2;-11,2;133,7
1106;18433;-439,4;-11,1;133,4
1112;18533;-439,5;-11,2;133,3
1118;18633;-439,6;-11,2;133,2
1124;18733;-439,6;-11,2;133,1
1130;18833;-439,7;-11,1;133
1136;18933;-439,7;-11,1;133
1142;19033;-439,7;-11,1;133
1148;19133;-439,8;-11,1;133,1
1154;19233;-439,7;-11,1;133,8
1160;19333;-439,6;-11;134,3
1166;19433;-439,4;-10,9;134,8
1172;19533;-439;-10,9;135,4
1178;19633;-438,7;-11;136,2
1184;19733;-438,5;-11;136,8
1190;19833;-438,3;-11;137,5
1196;19933;-438;-11;138,3
1202;20033;-437,6;-11;139,2
1208;20133;-437,3;-11,1;139,9
1214;20233;-436,9;-11,1;140,8
1220;20333;-436,3;-11,4;141,3
1226;20433;-435,8;-11,6;142
1232;20533;-435,4;-11,7;142,7
1238;20633;-435;-11,7;143,3
1244;20733;-434,7;-11,7;144
1250;20833;-434,3;-11,7;144,5
1256;20933;-434,1;-11,7;145,1
1262;21033;-433,8;-11,7;145,3
1268;21133;-434;-11,6;145,1
1274;21233;-434,2;-11,4;144,5
1280;21333;-434,5;-11,4;143,7
1286;21433;-435;-11,4;142,5
1292;21533;-435,7;-11,6;141,3
1298;21633;-436;-11,6;140,3
1304;21733;-436,6;-11,6;139,4
1310;21833;-437;-11,5;138,5
1316;21933;-437,3;-11,4;137,8
1322;22033;-437,7;-11,5;137,2
1328;22133;-437,9;-11,4;136,7
1334;22233;-438,4;-11,4;136,3
1340;22333;-438,5;-11,3;135,8
1346;22433;-438,7;-11,3;135,2
1352;22533;-439;-11,3;134,8
1358;22633;-439,1;-11,3;134,5
1364;22733;-439,3;-11,4;134,1
1370;22833;-439,5;-11,3;133,9
1376;22933;-439,5;-11,3;133,5
1382;23033;-439,7;-11,3;133,4
1388;23133;-439,8;-11,2;133,2
1394;23233;-439,9;-11,3;133,1
1400;23333;-439,9;-11,2;133,2
1406;23433;-440;-11,2;132,9
1412;23533;-440,1;-11,2;132,8
1418;23633;-440,1;-11,2;132,8
1424;23733;-440,2;-11,2;132,8
1430;23833;-440,2;-11,2;132,7
1436;23933;-440,2;-11,2;132,8
1442;24033;-440,2;-11,2;132,7
1448;24133;-440,2;-11,2;132,8
1454;24233;-440,2;-11,2;133
1460;24333;-439,9;-11,1;133,8
1466;24433;-439,8;-11,1;134,2
1472;24533;-439,6;-11,1;134,8
1478;24633;-439,3;-11,1;135,6
1484;24733;-439;-11,1;136,3
1490;24833;-438,7;-11,1;137
1496;24933;-438,4;-11;137,7
1502;25033;-437,9;-11;138,4
1508;25133;-437,6;-11;139,2
1514;25233;-437,3;-11;140
1520;25333;-436,8;-10,9;141
1526;25433;-436,4;-10,9;141,7
1532;25533;-436;-10,9;142,3
1538;25633;-435,6;-11;142,9
1544;25733;-435,2;-11;143,7
1550;25833;-434,9;-11;144,2
1556;25933;-434,6;-11,1;144,4
1562;26033;-434,7;-11,2;144,1
1568;26133;-434,8;-11,1;143,3
1574;26233;-435,4;-11,1;142,6
1580;26333;-435,9;-11,1;141,5
1586;26433;-436,2;-11,3;140,4
1592;26533;-436,7;-11,4;139,6
1598;26633;-437,2;-11,4;138,5
1604;26733;-437,6;-11,4;138
1610;26833;-437,9;-11,4;137,4
1616;26933;-438,1;-11,4;136,7
1622;27033;-438,3;-11,4;136,1
1628;27133;-438,5;-11,5;135,6
1634;27233;-438,7;-11,4;135,1
1640;27333;-438,9;-11,4;134,7
1646;27433;-439;-11,4;134,5
1652;27533;-439,1;-11,4;133,9
1658;27633;-439,4;-11,3;133,7
1664;27733;-439,4;-11,4;133,5
1670;27833;-439,6;-11,4;133,3
1676;27933;-439,6;-11,4;133,2
1682;28033;-439,7;-11,3;133
1688;28133;-439,8;-11,4;132,9
1694;28233;-439,9;-11,4;132,8
1700;28333;-440;-11,4;132,8
1706;28433;-440;-11,3;132,9
1712;28533;-440;-11,4;132,7
1718;28633;-440,1;-11,3;132,6
1724;28733;-440,2;-11,3;132,5
1730;28833;-440,1;-11,4;132,5
1736;28933;-440,2;-11,4;132,5
1742;29033;-440,2;-11,4;132,5
1748;29133;-440,1;-11,3;132,6
1754;29233;-440,1;-11,4;132,7
1760;29333;-440,1;-11,4;133,1
1766;29433;-440;-11,4;133,4
1772;29533;-439,7;-11,4;134,1
1778;29633;-439,7;-11,4;134,5
1784;29733;-439,5;-11,4;135
1790;29833;-439,1;-11,4;135,8
1796;29933;-438,8;-11,4;136,8
1802;30033;-438,4;-11,3;137,7
1808;30133;-438,1;-11,2;138,6
1814;30233;-437,7;-11,1;139,5
1820;30333;-437,3;-11,1;140,3
1826;30433;-436,9;-11,1;141
1832;30533;-436,6;-11;141,6
1838;30633;-436,3;-11;142,4
1844;30733;-436,1;-11;142,9
1850;30833;-436;-11;143,2
1856;30933;-435,9;-11,2;142,8
1862;31033;-436,2;-11,2;141,6
1868;31133;-436,5;-11,4;140,6
1874;31233;-437,1;-11,5;139,7
1880;31333;-437,3;-11,5;138,9
1886;31433;-437,7;-11,4;138,1
1892;31533;-438,1;-11,5;137,4
1898;31633;-438,3;-11,5;136,7
1904;31733;-438,5;-11,5;136,1
1910;31833;-438,7;-11,4;135,4
1916;31933;-439;-11,5;134,9
1922;32033;-439,1;-11,5;134,6
1928;32133;-439,2;-11,5;134,1
1934;32233;-439,5;-11,5;133,9
1940;32333;-439,6;-11,5;133,5
1946;32433;-439,7;-11,5;133,3
1952;32533;-439,8;-11,5;133,2
1958;32633;-440;-11,5;133
1964;32733;-440;-11,5;133
1970;32833;-440,2;-11,5;132,8
1976;32933;-440,2;-11,5;132,5
1982;33033;-440,2;-11,5;132,4
1988;33133;-440,3;-11,5;132,4
1994;33233;-440,4;-11,5;132,2
2000;33333;-440,4;-11,5;132,2
2006;33433;-440,4;-11,5;132,1
2012;33533;-440,3;-11,6;131,8
2018;33633;-440,4;-11,5;132
2024;33733;-440,3;-11,5;132,1
